Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
4_2014,2013-12-31,0.22339077312984454,13.071240084509244,0.11371396861773202,0.10135767287444802,0.016525194346744862,0.1623883178896178,15.35257056765213,0.073644,0.44548335586335414,0.3138398698500678,0.1692888764944817,-0.09740203794959705,0.15305307743898228,0.52657235,0.04619385000000001,-0.28092619545454545,137.4318762530421,135.22040152535772,126.18388933096358,136.76683951410538,126.8913795030896,127.2604246671859,915.0,1379.090909090909,1885.7272727272727,2946.0,3580.090909090909,2839.6363636363635
4_2014,2014-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2014,2014-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2014,2014-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2014,2014-03-21,0.21889868510373908,9.77879338795898,0.08203955119410143,0.10287385893250907,-0.035263497532846966,0.1575205581236034,14.865123935867633,0.07925672727272727,0.4402429200756935,0.3278822766494962,0.15028478238675308,-0.11686649134914635,0.15179250579432943,0.5210299463636364,0.03657499272727274,-0.29670660545454547,139.1403981197166,139.83096371668674,131.471182942457,143.55090382809175,132.73314527938317,132.46581845250876,934.2727272727273,1390.6363636363637,1814.6363636363637,2824.3636363636365,3579.4545454545455,3035.6363636363635
4_2014,2014-04-06,0.26728358849176975,10.029998286728008,0.09704898919334747,0.11341013536624824,0.014327839594664736,0.20549704954309506,19.38537947304962,0.13641163636363635,0.44399319628902584,0.3450163555278559,0.12762583801132998,-0.08216806574566853,0.20445938159961627,0.5884186390909091,0.06298670454545457,-0.32509843090909096,136.90460278907744,139.625884631565,122.84521256119201,146.4341722021552,123.48899758773364,122.01023037118922,1025.4545454545455,1542.090909090909,1966.090909090909,3372.7272727272725,4000.181818181818,3306.4545454545455
4_2014,2014-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2014,2014-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2014,2014-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2014,2014-06-09,0.3702677640065835,8.803627662919796,0.1239525067268958,0.1257547026802559,0.12828912900797762,0.22988881674535025,22.026275128925057,0.14740145454545453,0.4619888388945435,0.3743054948643836,0.10737653763459716,0.013385917228388212,0.22005825846116556,0.39355942090909096,0.07410963454545455,-0.20784717363636365,142.46349737391918,148.340335802094,124.47941135082134,156.46252736727922,124.01012488097363,120.66379965840102,587.9090909090909,944.4545454545455,1213.0,2527.5454545454545,2605.181818181818,2118.090909090909
4_2014,2014-06-25,0.3728244128027127,8.909641780849435,0.11252856354122752,0.13549573687212832,0.11530002281998812,0.26181654219495576,24.783251668583272,0.20184545454545455,0.44173931088476465,0.3711688188592749,0.07377800894477203,0.004415102352874486,0.2596821443414308,0.4803347536363637,0.09151041272727274,-0.24863368363636365,137.58954862941664,146.648500226861,117.64867750407306,159.4619375887051,117.04726883172738,111.153055098514,767.0,1208.8181818181818,1442.5454545454545,3097.4545454545455,3145.090909090909,2546.181818181818
4_2014,2014-07-11,0.43716963999702957,13.867270933312655,0.21838589433938996,0.15009197779928096,0.29391501856301594,0.2948826876634168,27.97605357068065,0.2208927272727272,0.4526181892085649,0.3733425645970577,0.07832283124319163,0.08314109171293048,0.28397202055130594,0.41081257727272735,0.11848631181818182,-0.17055898363636365,133.7105524648591,142.79534130361196,108.10051238575515,156.39596253296912,106.94502157389367,101.51032471725358,555.5454545454545,973.4545454545455,1214.8181818181818,3010.2727272727275,2577.818181818182,1673.0
4_2014,2014-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2014,2014-08-12,0.43361861944892294,10.551312591472247,0.15259276459847085,0.20136303785807277,0.13357278846951923,0.31225144442133285,29.535546327379,0.2749352727272727,0.4866640653220036,0.4516048744688813,0.03938815602497927,-0.017764561995624262,0.32949635964971086,0.4803699636363637,0.1185837181818182,-0.2581438181818182,139.99669729093878,154.95191464729103,113.80730065716575,176.0190962489457,112.55131896545835,105.98489036517559,746.9090909090909,1149.8181818181818,1254.5454545454545,3277.2727272727275,3318.2727272727275,2439.818181818182
4_2014,2014-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2014,2014-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2014,2014-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2014,2014-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2014,2014-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2014,2014-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2014,2014-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_2014,2014-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
