Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
19_2018,2018-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-06-04,0.4519873648535609,11.657349810179268,0.18651099487387884,0.18829321207290758,0.21533395677099335,0.3138118871893809,29.685464522179483,0.26412514285714284,0.4639105834226275,0.42638280204313,0.03464339563472228,0.03013248162239675,0.3207000411222758,0.4453459421428572,0.11997719857142859,-0.2147960264285714,136.63402682271268,151.53749574611018,110.33662656201031,171.85691972246897,109.06619853884051,101.79110518628454,678.9285714285714,1086.642857142857,1195.642857142857,3147.9285714285716,2967.285714285714,2033.2142857142858
19_2018,2018-06-06,0.45724353343051943,12.204908159062464,0.20021456904987564,0.1971962545036261,0.22540081623328304,0.32026190197453597,30.280005453453374,0.2695165714285714,0.47814843500682225,0.4367102363235328,0.039008804670098776,0.026666083230628267,0.3252948085023526,0.4528303357142858,0.1250496742857143,-0.21936823285714288,136.09708677618949,150.32174141291173,108.864635462118,169.80058553396296,107.64791444194357,100.72777681559332,666.3571428571429,1085.5,1211.5,3219.6428571428573,3053.1428571428573,2038.142857142857
19_2018,2018-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-06-11,0.4402058314259569,12.378487344860805,0.19542232827422282,0.18755457274078455,0.2148701554084871,0.2990622915885796,28.323452783161372,0.24361799999999997,0.46688691678934446,0.4232985516800034,0.04163283256017065,0.02051112284940331,0.3043773387509461,0.42456124,0.11199198428571429,-0.20610073142857147,138.0370789497974,151.71745210613196,112.61488460853666,169.66349018367265,111.39653564714823,104.24078399214571,652.8571428571429,1032.7142857142858,1153.5,2976.1428571428573,2864.3571428571427,1920.142857142857
19_2018,2018-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-06-21,0.41093836609256656,12.802405611051034,0.18775092901606152,0.1948411168684949,0.15272227515159503,0.2677436074868495,25.46853982895968,0.2053097142857143,0.4896709663679233,0.4409680852079824,0.052641716669419525,-0.035865151739025526,0.2648610391010115,0.4133574850000001,0.09252625571428574,-0.22092952928571427,137.9689079514122,151.12706180165645,118.63305231444612,168.45884629335646,118.18520910906226,111.44260197132715,616.6428571428571,1012.0714285714286,1153.7857142857142,2733.0714285714284,2936.1428571428573,2010.9285714285713
19_2018,2018-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-06-26,0.44026614627754146,11.742680699088515,0.1897950759611807,0.1990026659178414,0.17689039335313783,0.2872971333047338,27.32263926368855,0.22537714285714286,0.4944911453056657,0.4537872572038554,0.04595275975972327,-0.012332220714502646,0.2889559396510479,0.40816038785714287,0.10214923285714288,-0.21380777428571426,139.39824178092698,153.72192587452292,116.6632249227433,171.78277810371392,115.75334765201951,109.00568697230679,602.2857142857143,975.8571428571429,1097.0,2793.3571428571427,2856.8571428571427,1956.857142857143
19_2018,2018-06-27,0.4382283207029242,12.034557064832992,0.19345672737865138,0.19504639811061697,0.1909156311015936,0.29094841500034413,27.61672267853128,0.2350937142857143,0.4759919884958454,0.44345728710860477,0.03875096653835328,-0.001375928293727817,0.299153274204519,0.4151982235714286,0.10485832714285717,-0.20985771571428571,138.48844626515182,154.30978149050037,115.42819082708293,174.13298154081028,114.65430987839879,107.67627792636065,637.0714285714286,1018.7857142857143,1118.7857142857142,2859.714285714286,2856.214285714286,1937.2857142857142
19_2018,2018-06-28,0.4151785848408435,12.201421780694663,0.1826508288151214,0.18905557813476107,0.16794940642412806,0.2854385513736464,27.01286912105676,0.22857342857142854,0.47779326435568137,0.4306376151692188,0.055288393639580595,-0.014227008840342333,0.29055617100626946,0.45065449142857145,0.10405131500000002,-0.23100024785714285,137.29577750734194,150.5500547223358,114.78605589096207,168.45648356180388,114.1467164882484,108.23894782747877,696.5,1108.4285714285713,1266.642857142857,3025.3571428571427,3105.0714285714284,2157.1428571428573
19_2018,2018-07-01,0.4324359551731117,12.399807183171799,0.1964982372495708,0.19471609658407382,0.1869649637310856,0.2852382081050611,27.095492662419225,0.22277571428571427,0.4898550606314922,0.4456112184301156,0.05428686980166632,-0.008020948073200609,0.2866138355219037,0.41302397142857145,0.10315954571428573,-0.21117593142857147,138.03330304832394,151.91352060734985,115.89818637231032,169.99536025625198,115.27796250951519,109.30184622331602,604.8571428571429,993.4285714285714,1133.357142857143,2832.0,2866.0714285714284,1938.0
19_2018,2018-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-07-11,0.43831568336592924,12.782586028677743,0.20923324811352512,0.19386512824587143,0.21534456503923743,0.2970511932032611,28.142382721767564,0.23525057142857145,0.4895231373289053,0.44294030407811447,0.06310726543454306,0.010653327474959073,0.3033149777961389,0.4229243264285714,0.1127274492857143,-0.2070251285714286,137.9205135717895,151.22006675484826,113.187965467458,168.19544109152162,112.48510490469445,107.58638345423071,617.2142857142857,1001.7142857142857,1162.357142857143,2970.0714285714284,2882.714285714286,1905.642857142857
19_2018,2018-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-07-21,0.4813085486705853,12.295001660200645,0.23049759674901785,0.19958796710628554,0.2735748712440916,0.3336570027395366,31.57431771596554,0.2770002857142857,0.48799363978373317,0.46476540195146343,0.052368506601846374,0.05638200720814658,0.348068506688523,0.43773981,0.13415933785714287,-0.19939706428571427,136.33810466614423,152.85159900287036,107.65755548429037,172.75617642888122,106.85894658312773,102.19683132254762,616.7142857142857,1020.6428571428571,1160.7142857142858,3236.0714285714284,2884.714285714286,1853.357142857143
19_2018,2018-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-07-31,0.40802084577845277,11.54173474562251,0.1754731866737186,0.20738760701393227,0.10868391660843395,0.26787925289655906,25.471494813654257,0.21070628571428568,0.49745882310792766,0.4687162324390282,0.04664542444773951,-0.06680152588239553,0.27847642662710115,0.4418707928571429,0.08762298857142858,-0.2510686735714286,140.61940131881502,156.44716833610076,121.4178257804247,175.79984246164852,121.22144581323677,115.4989423596335,713.8571428571429,1098.4285714285713,1218.142857142857,2811.0714285714284,3213.214285714286,2282.214285714286
19_2018,2018-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-08-07,0.43886902947277395,12.402046121562805,0.20792271242324595,0.20665370035647118,0.18592854907552464,0.28630816101227213,27.227592139310673,0.23285657142857144,0.48108457582959857,0.46197848677119524,0.029202363357296236,-0.020253293898095746,0.3007415779774272,0.4083128057142858,0.09962761357142859,-0.21191414642857143,141.09806346681287,158.36482476820274,117.97359936557325,178.93337549177363,116.92460545409335,109.769387447717,672.7142857142857,1013.3571428571429,1080.357142857143,2770.0,2873.714285714286,1908.5714285714287
19_2018,2018-08-12,0.43994070876381103,11.873115981202043,0.20556667651371843,0.19208826592935363,0.2029270538651172,0.2892595412781483,27.486600231959816,0.22768971428571433,0.4843375666663982,0.4513756106975534,0.05071685527798609,0.0045467488901471615,0.29298620382652596,0.41240810642857145,0.10429459714285716,-0.208133365,138.10484418128596,153.10810562728807,116.05787348955405,172.31467747809322,115.50301666385117,109.95404766449772,616.0,999.0,1125.4285714285713,2843.5714285714284,2832.5714285714284,1926.9285714285713
19_2018,2018-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_2018,2018-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
