Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
7_AD_2022,2022-04-10,0.3866810193784393,16.13755080280958,0.2232102102562345,0.1921782238452847,0.19936210897536846,0.27895924044655795,26.32028967257677,0.20355257142857144,0.5180842238519339,0.4077172515581598,0.10866281695007952,-0.024901399732682794,0.2698394880174234,0.4764276485714287,0.11268406357142857,-0.2417594435714286,138.88903818637803,140.26065816324302,110.0569090646298,144.14795332952664,108.38611751052271,103.8370135618198,685.2142857142857,1072.142857142857,1421.142857142857,3212.785714285714,3377.0714285714284,2145.0
7_AD_2022,2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-04-23,0.44859639113882366,15.066991671786619,0.24678523742929967,0.20844501105954033,0.266399161317212,0.32144929232764874,30.337292279755324,0.25909885714285713,0.5109389102422737,0.43171737923080106,0.07033269092659557,0.021052941655251012,0.3248909055712016,0.45997639500000004,0.1331294892857143,-0.2186241992857143,140.2196239113712,146.3326602324692,105.69347224051407,154.6030621335171,103.48579550662987,97.65491282801659,678.9285714285714,1028.4285714285713,1261.4285714285713,3313.1428571428573,3176.9285714285716,1919.5714285714287
7_AD_2022,2022-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-05-07,0.6936362260102387,8.59033480045773,0.31147219199464304,0.27794550043755034,0.4778469293866296,0.5014415163358933,47.30769337987012,0.47653799999999996,0.5412719221052815,0.5766103649670943,-0.01930923625997918,0.19569310959356437,0.5348699356205499,0.4215904521428572,0.2285068592857143,-0.16317955857142857,136.0179402576247,163.44603081679176,88.13861905639757,197.59873935008346,85.68995524667817,79.11360005499532,417.35714285714283,788.5714285714286,712.2142857142857,3938.785714285714,2649.285714285714,1391.357142857143
7_AD_2022,2022-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-06-02,0.902350898678511,2.9276838406004875,0.3988781782798253,0.2521215339306025,0.7630364395028403,0.6904877054927054,65.12038602606931,0.7123388571428572,0.5257927586664188,0.7183105138051629,-0.045898919265968854,0.5235753044822505,0.7824589128465449,0.38612452857142865,0.3545182364285714,-0.048808658571428576,139.8081778884147,178.99697354517863,69.19040156066858,214.68765337207236,66.51731814108678,61.38797597911458,194.92857142857142,481.14285714285717,253.85714285714286,4954.428571428572,1548.0,665.2142857142857
7_AD_2022,2022-06-03,0.8743375553809841,3.7231134289017294,0.3843120575055475,0.24859144104076858,0.7385226472062053,0.6709001532653689,63.27577691173549,0.6980065714285715,0.4849268242546806,0.6693411281381764,-0.05025669341047939,0.49468144609479076,0.783912223335454,0.39886304357142854,0.3417568292857144,-0.05690423071428573,141.08486922013154,181.72995157449836,70.527095411396,216.7645285606491,67.76211296255107,62.425775130109166,303.42857142857144,575.2142857142857,328.57142857142856,4908.642857142857,1658.2857142857142,737.5714285714286
7_AD_2022,2022-06-04,0.8988798372984415,3.092148527421174,0.40907344880088964,0.26645917143824244,0.7556164858766161,0.6908362683469489,65.15753146275782,0.7204508571428573,0.5195423099491547,0.7236242816344017,-0.05170797393234259,0.5016747291912478,0.7966337945174462,0.3953108900000001,0.354467295,-0.055949799285714294,139.4511874823729,181.44978380783908,69.15979052319135,218.1183100123928,66.49266501655151,61.29201221096945,234.57142857142858,523.2142857142857,265.35714285714283,4989.142857142857,1654.7857142857142,694.0
7_AD_2022,2022-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-06-16,0.8723271847752002,3.934567426700852,0.4052696388827671,0.25625218314665016,0.7297524697227774,0.641213685875219,60.46902225524723,0.6428254285714285,0.49732106852265895,0.6886089996641871,-0.05581733143087708,0.4608504432872853,0.719113014312198,0.3712113428571429,0.3123840935714286,-0.06265157714285716,136.0957073709454,177.85465770641554,74.46961485209495,217.10998553172553,71.81237445624785,65.9384131495923,235.21428571428572,557.5714285714286,306.5,4498.571428571428,1659.7142857142858,702.5
7_AD_2022,2022-06-18,0.8710400484240882,3.8151212221866397,0.3826831017524663,0.253501955764645,0.7176925402490081,0.6421690216222683,60.55696433964649,0.638178857142857,0.5268605098848329,0.6852107883984743,-0.04514718872394989,0.462152260280486,0.7095198300109251,0.3714374485714286,0.3150657764285715,-0.06568615785714285,138.09073572575056,175.5515424031818,74.38619234335776,212.2312968370784,71.68191777293569,66.02255616868162,207.07142857142858,515.1428571428571,311.0,4521.642857142857,1662.142857142857,742.2857142857143
7_AD_2022,2022-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-06-24,0.7735240899409165,6.7554317486609365,0.3600645015293642,0.2926260923680736,0.5860139812970032,0.5749932632586944,54.214574103508546,0.5761268571428573,0.5296850601401004,0.6265888286225785,-0.04250513705825189,0.28715268151424833,0.6229563225879573,0.4200780892857144,0.27581666571428576,-0.1311892392857143,130.9931555660598,167.13749707467437,79.84375323917929,211.25561537042674,77.59376343153723,71.4096105812279,324.92857142857144,742.3571428571429,556.9285714285714,4356.928571428572,2415.5,1138.357142857143
7_AD_2022,2022-06-26,0.7258375610183315,7.991381666926423,0.33618998406722383,0.2832913294410834,0.5289479658954293,0.531328448505933,50.10986080074092,0.524886857142857,0.5110652929426532,0.5926169072830729,-0.04151527868780135,0.23482829170685532,0.5709265936012297,0.42319437357142864,0.24656537000000003,-0.1472317457142857,129.85592069251484,164.66110188710385,84.4029734386398,209.76767056844307,82.32230445578132,75.61818611679517,383.64285714285717,824.6428571428571,653.5,4113.142857142857,2549.4285714285716,1267.4285714285713
7_AD_2022,2022-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_AD_2022,2022-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
