Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,FMASK,SZA,SAA,VZA,VAA,maskcov_pct,ATSA
100_2020,2019-12-15,0.5147535085299976,14.113171452258749,0.2824880720259531,0.25623651186885177,0.20706024384774566,0.2686749824598932,26.591905500314667,0.16505399999999998,0.6891665787947265,0.5712335624895493,0.10432980449262202,-0.0800911607949444,0.24725479963222635,0.28031179250000005,0.09269878500000002,-0.18064308,159.99632662294067,157.85211811526688,123.90472042471481,157.30939308160524,120.19623676732044,114.0505482364454,269.0,437.5,648.0,2022.25,2373.5,1328.0,,,,,,,
100_2020,2019-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100_2020,2019-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100_2020,2020-01-04,0.4640058453607427,16.794524445131863,0.29746857064871524,0.27458045626354244,0.1798891583492551,0.26167287240838455,25.468379324370694,0.162192,0.6717556264717011,0.5562386706795981,0.11452858524918254,-0.12410405370867499,0.24453055944840485,0.3252806425,0.09155112000000001,-0.213429115,157.77154844355468,154.50780869631163,122.77351464087234,153.39098753265438,119.32654660607741,113.88559652961086,365.5,555.5,806.5,2204.75,2827.5,1531.0,,,,,,,
100_2020,2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100_2020,2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100_2020,2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100_2020,2020-01-19,0.4567874326992012,16.769741361735342,0.2899067929938799,0.25425486803607034,0.19889871734796843,0.2594063303781796,25.212296370795425,0.160164,0.6512506860157812,0.5300857378128263,0.1169227067775474,-0.09646464959551332,0.2394980042234901,0.32195768,0.09220341750000001,-0.1999928025,153.96179300307196,151.97448953322132,121.70554403249736,151.98478338914657,118.64802546622894,113.32982143147238,352.5,568.25,826.25,2218.0,2690.25,1481.0,,,,,,,
100_2020,2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100_2020,2020-01-26,0.4669872506348109,15.35559559924998,0.2676412613590962,0.2764375772364538,0.13372520591563772,0.2589881002132318,25.292704378447727,0.160968,0.6772419958760674,0.5692629589114895,0.10942715989148902,-0.13866114687056236,0.23926798795543236,0.3224343075,0.08769412000000001,-0.222847945,155.98445406357308,155.50109769313252,124.92042149795026,156.54313312439206,121.88298964443965,116.21884746857884,334.25,546.25,779.25,2149.5,2838.5,1640.0,,,,,,,
100_2020,2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100_2020,2020-02-03,0.46297551775657686,15.576525753965953,0.2689856167866134,0.2673984815497554,0.15443630746191242,0.2628088679400522,25.547754327724796,0.16356600000000002,0.668869217066431,0.5523706273497031,0.11581121662478316,-0.1191289687424047,0.2436005694730689,0.3284369375,0.09151426250000001,-0.2180002425,156.01308266453412,154.0097676116327,123.115637640922,153.9892892993183,119.95560750493196,114.64613967568533,349.75,559.5,813.0,2223.5,2819.0,1624.0,,,,,,,
100_2020,2020-02-08,0.461364287392614,16.18380643938046,0.2811564189957783,0.26398797881794156,0.18399099769736532,0.26927879351820805,26.03767692257483,0.171825,0.6522532822852724,0.5385108797470156,0.1105456372587926,-0.10231238187535314,0.2509696440766137,0.3394904425,0.09625994500000003,-0.21509624249999998,153.5989568143305,152.4382081261167,120.60965406369728,153.13022097926924,117.57795847164483,112.12243219055051,375.75,600.75,856.0,2325.75,2853.75,1601.25,,,,,,,
100_2020,2020-02-11,0.4622789370840714,17.60867990470976,0.3143014859790663,0.2842981381076474,0.2314559785090142,0.30212529092168217,28.725087889352146,0.214059,0.6322614950529055,0.5302211933761942,0.09915011813213659,-0.08889325405472877,0.288489878136149,0.40567212750000003,0.11842612750000003,-0.2424873875,146.9118333895819,147.98771655308667,112.11784668192755,151.0382608554833,109.47769127266291,104.19152020569501,472.25,758.0,1033.75,2819.0,3365.0,1756.0,,,,,,,
100_2020,2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
