Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
P11,2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,2021-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,2021-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,2021-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,2021-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,2021-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,2021-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,2021-05-08,0.38916703582468176,16.649272523518892,0.23411093191681043,0.21222507898476026,0.16774526312576973,0.2547860607605072,24.219035573234603,0.19042378378378375,0.5059371915389851,0.44696771504169935,0.06423155397899039,-0.06867689603151254,0.2439156583105935,0.4149999124324325,0.08963409513513514,-0.2257177440540541,133.9780821846398,145.89377260533732,117.91005577082255,163.08098047236263,117.95290297283756,111.3130322498339,576.6486486486486,1015.4054054054054,1186.2162162162163,2693.6486486486488,3091.5135135135133,1921.4324324324325
P11,2021-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,2021-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,2021-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
