Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
FE-27,2022-02-14,0.15132275132275133,12.948428022288052,0.09628655931646402,0.12386820925553316,-0.11652456354039789,0.09772209567198177,9.303580695442683,0.03026399999999997,0.4485453755970473,0.35060728744939273,0.15349264705882354,-0.2104499274310595,0.09487477193564438,0.4522105700000001,0.0036211100000000246,-0.28211189000000003,143.34020426539908,145.22035630066387,146.4248990042447,149.19163924102108,149.53676492229908,151.8821937266809,897.0,1270.0,1604.0,2176.0,3336.0,2750.0
FE-27,2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-27,2022-02-20,0.151417004048583,14.32077089130462,0.10761245674740484,0.12107558068146929,-0.09465195246179967,0.09666858127512926,9.216557886285697,0.01760400000000002,0.46565934065934067,0.34129478315524825,0.189873417721519,-0.20022497187851518,0.09124918672739105,0.43408546000000003,0.00830285,-0.26646074000000003,145.32754679121354,142.4326379922195,144.45297438509903,142.4306209961103,146.4019883423079,151.03702333938634,826.0,1167.0,1572.0,2133.0,3201.0,2579.0
FE-27,2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-27,2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-27,2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-27,2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-27,2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-27,2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-27,2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-27,2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-27,2022-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-27,2022-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-27,2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-27,2022-03-26,0.15294728641911193,11.847675896755655,0.0877025738798856,0.12380627610901135,-0.1278727165586329,0.09981922946559713,9.491361951841101,0.03364800000000001,0.4485823106220906,0.3545706371191136,0.14774774774774774,-0.2131844763423711,0.09723643807574209,0.4634724800000001,0.002812320000000007,-0.29316247,142.95669798647336,145.6981916938692,146.6725968283757,150.5461980189192,150.0206620220207,151.9128540339016,915.0,1303.0,1631.0,2220.0,3423.0,2871.0
FE-27,2022-03-27,0.160075329566855,11.708960331007576,0.08797364085667216,0.12637745107979317,-0.12428919577579203,0.10238614202133761,9.759345320884936,0.036539999999999954,0.4520668425681618,0.3580094591815752,0.1461038961038961,-0.20996702088677172,0.10013800531825372,0.44687807,0.004699929999999998,-0.28306036999999995,144.93393437115864,147.2203055556376,147.09288261158096,151.39422347874827,149.81862890879606,151.22673372992878,889.0,1246.0,1561.0,2156.0,3302.0,2768.0
FE-27,2022-04-01,0.16309362279511533,13.09812855302698,0.10012919896640828,0.1417615199034982,-0.13045242442686142,0.10379965457685668,9.900468034384248,0.02991600000000001,0.4857142857142857,0.3767178658043654,0.16938870741950537,-0.22760857812218419,0.09919128569070806,0.44481574000000007,0.007129240000000037,-0.29356530000000003,146.5290039027512,146.0152468421864,146.47990110522673,147.69193084894167,148.55151248478916,151.28321396740216,833.0,1179.0,1542.0,2143.0,3406.0,2786.0
FE-27,2022-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
