Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,FMASK,SZA,SAA,VZA,VAA,maskcov_pct,ATSA
FE-01,2023-05-21,0.3387510545476486,9.620433035972676,0.1079574261403894,0.2075088712894702,-0.0666441653844453,0.2052335879192804,19.71725194951087,0.138432,0.5448934357589587,0.483676776982776,0.0758385786723404,-0.173354753743224,0.2087782241652069,0.4060710966666667,0.04931876,-0.28518078,156.16172554451418,162.37694905462843,137.93824987526114,169.07179104380916,136.2249721595616,129.67835342284522,699.0,948.3333333333334,1120.3333333333333,2268.0,3219.333333333333,2592.0,,,,,,,
FE-01,2023-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-01,2023-05-25,0.3574456882382761,8.585731405759132,0.0997690713745634,0.1988623187735992,-0.0408063094791992,0.2215281458956076,21.208137109499987,0.153432,0.5374052821159947,0.4737402648045311,0.0745025130159434,-0.1400051343353671,0.2221223030459012,0.4115844633333334,0.0587777666666666,-0.27941974,152.38287747890817,159.84610882900213,134.00452228470283,168.20896462713145,132.5253952227357,125.90756534315096,668.3333333333334,953.0,1131.0,2389.333333333333,3167.333333333333,2592.6666666666665,,,,,,,
FE-01,2023-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-01,2023-05-31,0.3879117171509871,9.29673884534448,0.1178895905028787,0.2110884489096717,-0.0121743076880956,0.232521460165272,22.378166161240937,0.1604239999999999,0.5561095920311415,0.4929147862478995,0.070694705404878,-0.1298763345731583,0.2279946214285559,0.3843179266666667,0.0656181,-0.2612432900000001,151.06742270500877,159.56018009469878,132.09509243932615,169.09019610142929,130.60481250980123,123.66961535740153,568.3333333333334,855.6666666666666,1019.0,2310.0,2999.6666666666665,2367.0,,,,,,,
FE-01,2023-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-01,2023-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-01,2023-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE-01,2023-06-09,0.4842920189850617,9.97565351727782,0.16767347616375,0.2337837790757226,0.1089870243157502,0.288005240240868,27.7550381076928,0.2214119999999999,0.5498648540624221,0.5287635799799437,0.0201016693956058,-0.0597741512169516,0.3008815392551077,0.3625807733333334,0.0916909833333333,-0.2235961633333333,155.00188233363497,168.87026511466357,124.43753859265809,182.85319063869335,121.52588487822284,112.71337338164994,573.6666666666666,798.0,847.0,2437.6666666666665,2747.6666666666665,1958.6666666666667,,,,,,,
FE-01,2023-06-10,0.4751662997738657,9.462051537612028,0.1532824009225113,0.2314884832428833,0.0991825550996269,0.2990037444696257,28.56304654471988,0.233988,0.550078239680773,0.516691357680583,0.0319303266670437,-0.0549254908803256,0.3072351435823346,0.39655535,0.0994886433333333,-0.24477249,150.2335434615859,163.827275790114,121.34843386271284,178.7707894494528,118.95409560829124,110.93575453272216,584.0,863.6666666666666,948.6666666666666,2665.6666666666665,2975.6666666666665,2184.6666666666665,,,,,,,
