Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
Cameron Place SE,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2018-11-13,0.20951887009270476,16.663505564142337,0.14648011675138603,0.19497734516690646,-0.1475301568209831,0.10237504660968255,10.304519832858844,0.044245234042553185,0.5480199406843991,0.4686833481636522,0.12612994953646048,-0.28769970652269167,0.09973697507965686,0.31163613451773053,0.009066281510638303,-0.23060672715602837,162.0043181686877,162.19180637493423,156.04745362096062,163.30094191272278,155.8169502636793,154.30263627887834,606.5340425531915,780.8397163120568,967.0475177304965,1476.031205673759,2657.5737588652482,1979.8553191489361,0.002828854314002829
Cameron Place SE,2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2018-12-18,0.20117515860518884,18.019938733098954,0.15698268957293648,0.19550818277199464,-0.14584168809882464,0.09586039865246207,9.710787836310427,0.040752169731258836,0.5447189974588378,0.4690555252001658,0.12276364503332544,-0.29597461162200656,0.09314803506689773,0.3008246359405941,0.00717065895332391,-0.22239490930693073,161.33610841493166,162.45919843360383,157.2348894216179,164.32968227195576,157.3791352075986,155.94951348306574,591.3974540311174,765.1683168316831,938.110325318246,1408.4653465346535,2586.6930693069307,1886.1131541725601,0.0
Cameron Place SE,2018-12-20,0.20237319961743935,16.7968850158353,0.14527239035884418,0.18581070136199293,-0.140616902437185,0.09785648006213536,9.875970188470511,0.04522108345120226,0.5241306337539315,0.45643193326101983,0.10838369595975032,-0.2800856400988052,0.09634967118796826,0.3052596724328147,0.0070535215063649275,-0.2195795750212164,160.6199459959857,163.25075411203989,157.0718682106944,166.40763033828358,157.37928124724786,155.15571623764603,621.0311173974541,800.0813295615276,956.9476661951909,1440.9214992927864,2554.2496463932107,1907.2850070721358,0.0
Cameron Place SE,2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-02-01,0.20378938092090768,18.48041350750994,0.1623886155073813,0.15892722229090683,-0.07090630845094371,0.09543297338193824,9.708377242151224,0.03423000000000001,0.5168344324887192,0.41492633964707787,0.15190336749633968,-0.23063925654745143,0.08652461040540288,0.27111751,0.014132804999999995,-0.17959256,150.8149674786088,153.63552731060847,151.67052774845965,157.55980396029292,153.4612405721523,153.39899404972954,456.5,696.0,903.5,1366.0,2185.0,1574.5,0.9985855728429985
Cameron Place SE,2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-04-07,0.22529211218145181,15.661795802361171,0.14179053167246278,0.19888677044566777,-0.14171289259149547,0.11318177153948578,11.311497920349476,0.058488409090909084,0.5349099817248307,0.47323389922125236,0.09673755022984398,-0.27785584972205973,0.1119009699930516,0.3258676649076705,0.011128320944602277,-0.23944596173295452,158.56300142780472,163.26161656054282,154.60276314481214,168.31883022368294,154.95596968331338,151.41778600930445,636.609375,838.9765625,990.0362215909091,1559.8536931818182,2753.262784090909,2072.2691761363635,0.004243281471004243
Cameron Place SE,2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-04-27,0.30401074643021636,15.245859446710647,0.1667972830477004,0.22775751556181742,-0.05685098697894063,0.17805885662632345,17.214897574865358,0.1185788,0.5411348727288782,0.4922585519741515,0.06685181243393352,-0.22154317956224914,0.1794388816181887,0.3958351853333334,0.03823051550000001,-0.2781194771666667,150.35283116716664,160.0592289783217,140.44410782929128,170.92551359456965,140.2572313299739,133.45849634490875,700.95,985.9666666666667,1127.4,2104.0833333333335,3300.8166666666666,2359.0,0.9575671852899575
Cameron Place SE,2019-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-05-12,0.3107547512135725,14.23588085333602,0.1571597378414393,0.20896854778411153,-0.049325898747601335,0.16674053723091595,16.408591769920612,0.10880518811881186,0.5264342197017662,0.48465592712103067,0.05627752384590439,-0.20484295074230982,0.168353552161488,0.34268075863507785,0.0340587397807638,-0.2349345232602546,154.46867162771323,164.26234199388497,144.12483657149363,174.43471893535423,143.56625161100396,136.24362111605546,637.8543140028288,868.9794908062235,973.5297029702971,1842.3840169731259,2788.7015558698727,2034.2659123055162,0.0
Cameron Place SE,2019-05-13,0.3084033398127414,14.173433762132483,0.15565578731919846,0.20173938446089115,-0.03592795673605343,0.16934436044789847,16.584370042399815,0.11361762942008487,0.5088166801459064,0.47114696509514215,0.05034416008743771,-0.190459451693207,0.17365854761388605,0.352641949214993,0.035000336195190954,-0.2338467930410184,154.01977596929925,164.38942780918566,143.14581240301968,175.23986532018407,142.5475448647177,134.91852879775803,682.1428571428571,916.7821782178218,1014.3861386138614,1909.1350777934936,2805.543847241867,2053.95756718529,0.0
Cameron Place SE,2019-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-06-01,0.39492143466496493,13.756838818350179,0.18937292762291744,0.22402887084597828,0.05012757741462102,0.21703970015329602,21.248314853093614,0.1570223862660944,0.5282637488366744,0.5073993968009624,0.024656863377298405,-0.14049291350507423,0.21924385857403464,0.33968834739628045,0.05815301745350502,-0.21810197313304722,149.33633745336994,164.63885798336088,134.54766108584627,181.15233339068138,133.5948808161992,124.34035293622942,573.9062947067239,838.5100143061517,890.0321888412017,2036.2811158798283,2703.9184549356223,1848.002861230329,0.011315417256011316
Cameron Place SE,2019-06-06,0.40839823990274293,13.194135175132164,0.18811956520880024,0.22918428060347973,0.047523843060856774,0.22152043092208137,21.748549681508262,0.1633138981612447,0.5295333883882963,0.5203443658256729,0.011734850840617103,-0.14171117982627812,0.22524186116784992,0.33631877188118814,0.05866063751060822,-0.218569486039604,149.3942463806231,166.7584045254192,134.91741576984617,185.33756361004134,134.01933861823483,124.17630273407262,568.7885431400283,833.4222065063649,858.6973125884017,2020.2029702970297,2691.7659123055164,1847.1414427157001,0.0
Cameron Place SE,2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-06-26,0.4464229166013221,12.908290903985401,0.2034652766111854,0.22133473360773964,0.13360174635777824,0.25644378633056675,24.88165953322159,0.19471940740740742,0.5168284887831095,0.5024835337503997,0.01498378722772948,-0.07163666272970313,0.2580099601384259,0.3449894008641976,0.07921935679012347,-0.2023269877777778,144.80153157661985,162.52058302951977,126.23326244921218,182.80289222811493,125.04545181086061,115.62697017373453,535.3827160493827,835.0617283950618,869.4814814814815,2258.9876543209875,2614.7283950617284,1733.6913580246915,0.8854314002828855
Cameron Place SE,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-07-06,0.40057135316520964,14.287822081480522,0.20199741179739306,0.22771456424828074,0.06970556687535628,0.22344500783279572,21.808619220841923,0.16082473517786564,0.5355521885724485,0.5074734476094634,0.032301685140920675,-0.13401319686158533,0.2242847860597141,0.34482901875494076,0.062491415859683805,-0.21889296779644268,148.654959466466,162.85667772220472,132.4596517809215,178.5042589889812,131.38143168719938,122.54249049678175,566.255928853755,837.4328063241106,905.4071146245059,2095.8843873517785,2749.017786561265,1833.3142292490118,0.2842998585572843
Cameron Place SE,2019-07-11,0.379868289779839,13.878670284747342,0.1837750141650532,0.2268687115759662,0.02966676582185095,0.2138531850215887,20.833000424322865,0.15078345892351275,0.5414826586559811,0.5050824432143113,0.04341352747230617,-0.1548737443929164,0.21464497740038108,0.35533406769830034,0.05711100500000001,-0.23376526072946177,150.16515744705725,162.5734875743391,134.54635413016643,176.17012917838446,133.4708644640155,125.17320489096498,591.0488668555241,857.6763456090652,948.342776203966,2093.6720963172806,2862.3994334277622,1979.6451841359774,0.0014144271570014145
Cameron Place SE,2019-07-16,0.4180307401559618,15.701687404755383,0.2372882349474374,0.23130594790827058,0.12017990343626889,0.22689399454533288,22.262307255325773,0.15723897435897435,0.5522115327225803,0.5128036812398411,0.043322093930130284,-0.12037008847311695,0.21994667331943385,0.3190109103205128,0.0677246426923077,-0.19756065808404558,146.67107083293422,159.64247642055753,130.26697396343528,174.15872604106167,129.2311442813572,120.82705422377646,467.2193732193732,743.2606837606837,830.5598290598291,2017.0712250712252,2570.9636752136753,1587.6574074074074,0.007072135785007072
Cameron Place SE,2019-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place SE,2019-07-26,0.3502297167628867,15.66006802331385,0.19563233480692055,0.22586109495032974,0.027057248859364957,0.20232816221744682,19.61060564917234,0.13746505128205128,0.5413767039211341,0.4904414372434735,0.06282770182474258,-0.16946086426571677,0.20062526214942808,0.37015165090455837,0.05383740158119659,-0.2422709411823362,148.37032935146993,158.4111548012854,134.3103311480437,169.79756190833726,133.57946218892292,126.33690391327748,614.732905982906,899.210113960114,1033.6267806267806,2133.863247863248,3005.415242165242,2028.2977207977208,0.007072135785007072
Cameron Place SE,2019-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
