Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
Center Owens,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2018-11-09,0.15163562858246532,15.71573870329027,0.11950460229634985,0.12190012200066269,-0.08523080307134714,0.08458186209039562,8.253729385158014,0.031180499999999996,0.4231808383214706,0.3435549194564905,0.12568360691097374,-0.20262223745957514,0.08046231291066214,0.353327265,0.0033931818750000046,-0.20992830500000004,142.25070410728765,148.93822747659652,150.42093533622545,157.61117851359177,154.85095091654313,155.27923834152432,708.5625,1046.0,1261.625,1711.75,2580.375,2031.4375,0.998177261335156
Center Owens,2018-11-13,0.20132417831117125,17.307141843441556,0.15057650115590235,0.1937343664229302,-0.14111925755909993,0.10225391338120109,10.199217519837486,0.04252764106145249,0.540709465609931,0.45944496509703914,0.13000515694272022,-0.28544336949555743,0.09988736076569815,0.3337069778026072,0.008479208304236504,-0.24197366170623844,159.7201898077783,159.9185510891283,154.61080835651583,161.2467966716949,154.7445618990964,153.78478955972398,652.1649208566108,849.8845437616387,1057.5122206703911,1577.7730446927374,2817.8590549348232,2085.028514897579,0.021189336978810664
Center Owens,2018-11-23,0.23570694847087442,16.574636599997454,0.15470854935072711,0.18337293774517385,-0.08494971772587548,0.11929992994363578,11.900269470509333,0.053921999999999984,0.5384911980695876,0.4472050468268952,0.13275907595734734,-0.23653015619393442,0.11543461468729528,0.31143825750000004,0.019018695500000005,-0.2155890695,160.7533181472051,159.41697719432264,150.54191361265194,159.4146125033898,149.60594839334266,147.63666386549076,589.2,765.85,976.35,1578.85,2555.9,1873.0,0.9977215766689451
Center Owens,2018-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2018-12-08,0.12864250177683015,19.933256192140043,0.14823041611135793,-0.10608097754293262,0.3179985771875741,0.09574789661947707,9.027459491774078,0.029604000000000012,0.05096232041203578,-0.050685602350636634,0.14213745951781218,0.17816640169581346,0.10551650621273195,0.47351165,0.021868215000000017,-0.06908360499999999,131.26137852512127,127.4048093484904,124.45489568139617,127.36025485110312,125.77117595091936,128.88078284545733,1419.0,1750.5,2145.5,2779.0,1938.5,1438.0,0.9997721576668945
Center Owens,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2018-12-18,0.1877428752986341,18.83130679500972,0.1606114538972425,0.19223884229905006,-0.14009338049132136,0.09298652995594264,9.329273143514241,0.0368651018455229,0.5344795284730414,0.4559651737033343,0.12871825488681507,-0.2939827701790199,0.09027377768702534,0.3197017702323992,0.005752209248120305,-0.23104758266347689,158.31597614281793,159.72159558160814,156.10238145831153,162.05888572824406,156.8505955162323,156.23581304092485,629.8414217361586,829.764638869902,1023.6304397357029,1489.6593757120072,2717.9293688767375,1969.5046707678287,0.0
Center Owens,2018-12-20,0.18933553514109594,17.51366939779895,0.14847004535039976,0.17834688470999668,-0.12924558069799333,0.09449622742008958,9.46343590121007,0.04011539521094642,0.5129720240689742,0.4385542342272893,0.11943428766838103,-0.2723880357291081,0.09282693715960032,0.3189105662189282,0.006144854118586097,-0.22229631973888264,158.64660137955403,160.4534064781912,155.88910572574633,163.14444548402145,156.5372829018836,155.33698523683339,652.9012542759407,849.103078677309,1031.0953249714937,1506.8327251995438,2622.8432155074115,1948.045724059293,0.000911369332421964
Center Owens,2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-01-12,0.29726437457942106,19.30003297432905,0.21346973464277721,0.16595556579718232,0.061997633121026,0.1411603858302576,14.330549434996522,0.06409799999999999,0.5336645735720199,0.41787441115746393,0.14536778528086303,-0.15124669175893482,0.13494685236258389,0.2790110133333334,0.03490713666666668,-0.16398027333333334,166.329084132892,157.66833736633154,143.57136552053288,153.70812037010634,140.76208643109757,138.3605193493999,538.8333333333334,660.5,895.0,1594.1666666666667,2157.1666666666665,1397.6666666666667,0.9993164730006835
Center Owens,2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-02-01,0.19766380283850443,18.207153801563923,0.15777885257120527,0.14330915682290837,-0.047854208351190114,0.09881100473817536,9.899235574900251,0.03430153846153847,0.4840149563053636,0.38126030258304633,0.15249302106993307,-0.20287478623721258,0.09270638139591836,0.3131467392307693,0.013686291963562762,-0.18962446665991903,152.30113934088288,152.32170669238937,149.36197006869472,154.0499343087674,150.40581820579945,151.01263722351774,611.8744939271255,845.7429149797571,1087.8724696356276,1588.3846153846155,2377.9493927125504,1732.9473684210527,0.9437229437229437
Center Owens,2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-03-18,0.2847509245159887,19.39120739084876,0.21088129496402877,0.06587599393178492,0.2544604927782498,0.13451394122079877,13.651720774163037,0.09167399999999999,0.2513940520446097,0.2418722619322112,0.011175076193701321,0.04605030109812257,0.13955521439689542,0.23869785500000004,0.031243259999999995,-0.07796908500000002,151.13523491618696,164.7584964255296,144.64632373246232,178.02825363109935,144.78894964517306,135.67520695518547,624.5,805.5,822.0,1476.5,1346.5,877.5,0.9997721576668945
Center Owens,2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-04-07,0.20929690860230024,15.745014917368946,0.1380530200546693,0.19201459074875285,-0.14238059210138024,0.11018223303770602,10.897941384797466,0.054661090410958915,0.5214073790769427,0.45688287706549524,0.10263575630679161,-0.274898679140137,0.10946550204580151,0.3561309030833334,0.008609904028538819,-0.2551557654851598,155.74471916127104,160.46472884952766,153.511157373741,165.8940013352782,154.50128175231464,151.81554780329103,705.6237442922375,940.9293378995434,1117.6932648401826,1688.7784246575343,2952.4779680365295,2243.2310502283103,0.002050580997949419
Center Owens,2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Center Owens,2019-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
