Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
E Weiss-NE,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2018-11-13,0.2196390058057492,17.070629581540206,0.1546771870645564,0.20180817145057658,-0.12988573220155267,0.11321825947902116,11.248087143443568,0.05136819527896996,0.5502800101534171,0.46936265682700457,0.1260631550387505,-0.2789242371576106,0.11082194428697688,0.336210923623927,0.01296420845761803,-0.24589649508315453,160.27573651398552,160.36967568231853,152.89367535942435,161.52591480951224,152.5360452555208,150.7353268938221,644.2626072961374,836.4007510729614,1041.3937768240344,1620.1931330472103,2862.2736051502147,2097.776287553648,0.0
E Weiss-NE,2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2018-11-23,0.27943634706224807,11.411921141550902,0.11325171159885764,0.08152543601216525,0.007389434455464561,0.07886371169486413,9.510433417768708,0.02399815384615385,0.5419791237792768,0.3744174780975457,0.19595515712866693,-0.10585771495025435,0.06722338124728991,0.12648304153846157,0.01739741384615385,-0.07649515538461539,164.42007474134897,162.57968208006176,159.14103501930214,161.9738964467078,158.85512381487413,158.8401731832385,161.69230769230768,275.6923076923077,421.0769230769231,745.2307692307693,920.7692307692307,734.1538461538462,0.9930257510729614
E Weiss-NE,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2018-12-18,0.2083650941534805,18.46583669348283,0.16469406592400074,0.20392465344240157,-0.13461680990350247,0.10419934956677201,10.425156171099228,0.04558667990832696,0.5502789291289725,0.47215965702208723,0.12507907172593155,-0.2928258139406503,0.10187243393738778,0.3216077236287242,0.009885117417876248,-0.23717264097784568,160.82676510566034,161.23056303482446,154.9488363740113,162.57943140729458,154.8066585857555,153.25842128240433,626.4102368220015,808.0679908326968,998.90756302521,1522.2245989304813,2776.6974789915967,1992.8831168831168,0.2977467811158798
E Weiss-NE,2018-12-20,0.20672267220787333,17.276057727415683,0.15203410106276688,0.1908623961124086,-0.12495811187874033,0.1067462181299811,10.600297093782883,0.05004919957081545,0.5251673804581768,0.45287309489321675,0.11383162360685885,-0.27182387486539966,0.10564663730782087,0.33417372225053654,0.010020028599785416,-0.23701316497049357,158.70208605027514,160.74180564507677,153.91067471011092,163.58491633423532,154.13728555246706,152.01881644998844,670.9069206008584,870.2325643776824,1053.4831008583692,1599.5684012875536,2785.2502682403433,2051.497049356223,0.0
E Weiss-NE,2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-01-12,0.26051603671558543,18.675516698852093,0.1873495460953459,0.08178432829177824,0.17459687043017547,0.14940271447407313,14.531737808656068,0.057664999999999994,0.4244308438447937,0.266422683021143,0.1803782898899721,-0.012320904805827879,0.13013852830904196,0.34857311166666677,0.047497209166666686,-0.14317201916666666,136.93928219446934,135.08524318289597,127.90889817813037,136.48143629487774,128.92545002754167,129.954808668631,578.5833333333334,934.5,1320.0833333333333,2138.25,2176.6666666666665,1485.8333333333333,0.9967811158798283
E Weiss-NE,2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-02-01,0.16644608370594313,19.212783872366174,0.15527836231194442,0.04269782142775237,0.12480401388342213,0.10950055505699688,10.404850206434968,0.04186079999999999,0.3016269546839381,0.19546584988922378,0.14518463279777588,-0.030468924443679,0.10792643816901286,0.4118765000000001,0.023175656000000006,-0.15871218800000003,135.65877715760604,136.74753628405952,133.6372035537348,140.52563428001096,135.98392081903566,137.11548489091655,936.6,1301.0,1633.4,2284.2,2435.8,1788.4,0.9973175965665236
E Weiss-NE,2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-04-07,0.22659756176331072,15.74916595926744,0.14337534776226193,0.20469510734457538,-0.139237015007813,0.12001980057687632,11.846715000648816,0.06317469032258063,0.5366835914088433,0.473460908714561,0.0987982593156862,-0.27705176881085536,0.11960228343539396,0.35434497899462364,0.012516810134408609,-0.2600343703602151,157.36749116363674,161.86507691370883,152.66093695068852,166.88241076891734,152.98443896675326,149.45404293190418,689.2811827956989,909.4064516129032,1078.139247311828,1699.6462365591399,2995.0,2247.196774193548,0.002145922746781116
E Weiss-NE,2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-04-27,0.2987054076041197,16.142429159610693,0.17703355538027793,0.23238787725778218,-0.04846013065574452,0.18244596695023096,17.52290837847757,0.12513089460154242,0.5369575028093092,0.48943418585852505,0.06598288661504763,-0.22357533941026267,0.18711066632916956,0.42619070089117395,0.03987736219794345,-0.2953875436546701,149.5379837678312,159.18973651792933,138.79884837041973,170.21488041505668,138.5955956862157,131.96375217786402,778.0235646958012,1076.4353041988004,1226.1923736075407,2257.3937446443874,3550.3924592973435,2487.6855184233077,0.3739270386266094
E Weiss-NE,2019-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-05-12,0.32181072882822603,14.301661692948528,0.16319544564056396,0.21578953274967305,-0.035163521578213924,0.17951529089139154,17.522129717100515,0.12006556866952789,0.5308110948783019,0.48800587340527646,0.05674110082553245,-0.1971892419074459,0.1822179418245974,0.36298717711641637,0.039597018232296145,-0.24700357784334764,153.37022391944825,163.20264634539336,141.18737537928024,173.63184411231612,140.46097528935817,133.12321077913558,664.9562768240344,910.8020386266095,1024.37339055794,1981.1976931330473,2951.077789699571,2128.196083690987,0.0
E Weiss-NE,2019-05-13,0.3199932308023684,14.230949916429994,0.16197222024498129,0.20749582885109283,-0.02015819765934336,0.1818799232657743,17.688409840753973,0.12526065193965516,0.5117194958461305,0.47407765152330855,0.04946776813746841,-0.18148565459322158,0.18801511594005385,0.3706420165948276,0.040524416150323275,-0.243253971640625,153.30013799693558,163.7642403094275,140.343642873831,174.88495109465745,139.521687767117,131.81688626811578,710.707974137931,955.7227909482758,1058.1616379310344,2039.0026939655172,2940.646551724138,2127.8987068965516,0.004291845493562232
E Weiss-NE,2019-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-06-01,0.4070589186437078,13.501579303301078,0.19245802099103537,0.22989519609196035,0.06429360757299764,0.23210538782235987,22.55540720466274,0.1725907232979388,0.5292190357954515,0.5103355921910464,0.022401603381341707,-0.12954676283362232,0.23712431091429867,0.3585373464772018,0.06500428990630858,-0.22751984405371642,148.6896776563706,164.48935726556644,131.68959756705758,181.75760811847445,130.52923032793217,121.34452811961755,604.400687070581,879.2501561524048,929.4219237976265,2182.3213616489693,2835.8975640224858,1928.2866958151155,0.14109442060085836
E Weiss-NE,2019-06-06,0.42122184333056417,13.071355393260626,0.19389106699315425,0.23389522778625071,0.06332921159537262,0.23294584540688185,22.77841897022622,0.17339815557939917,0.5348506481263442,0.5249120149602762,0.012906477718661043,-0.13185868881230112,0.2369037959404966,0.3454037265101932,0.0642524189002146,-0.22248860686158797,148.7072017533027,166.08881504908385,132.61650526768773,184.92068311239012,131.58862967279057,121.9483228490995,571.18589055794,844.6649678111588,873.6137339055794,2109.1287553648067,2757.0667918454938,1873.163626609442,0.0
E Weiss-NE,2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-06-16,0.45144182963208485,13.640246705771235,0.22018941024537236,0.2569775282844609,0.09447638090477381,0.2548334788574279,24.79644676075384,0.19503600000000001,0.5510259917920657,0.5480611687602404,0.0031970769582096367,-0.12838375796178345,0.2653005570922124,0.34756299,0.07440329500000001,-0.22461422000000003,151.20845073555068,169.28423908840807,129.615791163395,187.9915545451084,127.6571601489592,117.6147616041064,576.0,820.5,827.5,2189.5,2834.5,1811.5,0.9994635193133047
E Weiss-NE,2019-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-07-01,0.4666314134644945,14.228397009752168,0.24340206986294347,0.25177403772106643,0.16135958860820265,0.27545838872045125,26.587357577715576,0.20316232835820897,0.572803080599059,0.5309831421169552,0.04147311537824649,-0.08515382064253221,0.2741763607113023,0.3552178126865672,0.09175073764925375,-0.21550401694029853,148.44320845515824,160.31339303803458,122.28474531535588,173.70908996310604,120.09763567545734,112.0361017567589,502.57089552238807,771.2164179104477,868.5746268656717,2384.89552238806,2827.365671641791,1722.0708955223881,0.9281115879828327
E Weiss-NE,2019-07-06,0.40811417414899775,14.46345786464503,0.20953814780631552,0.23241644744153406,0.07910833865118526,0.22828329228442615,22.267835908228328,0.16434975542168673,0.5426708311806613,0.513352624305493,0.033939068969986975,-0.13233359029461142,0.22976512100558563,0.3448506519849398,0.0650621030180723,-0.21881940234638556,149.6384515397609,163.19310332926352,131.6907401614679,178.0500857888659,130.33042804713054,121.61078344676778,563.6253012048193,825.8295180722891,896.6406626506024,2114.6704819277106,2762.001204819277,1814.1213855421686,0.10944206008583691
E Weiss-NE,2019-07-11,0.38303501358165937,14.140328854848102,0.18992316566038978,0.2324834592635543,0.03390542336261417,0.21844126394830812,21.228625000363163,0.1528140615199035,0.5526160232085042,0.5095146187212626,0.051375724647199986,-0.15683662670833617,0.2181263632221621,0.36272853675814243,0.05997170889927624,-0.23998423625452353,150.3082698290529,161.38985341551108,133.3190402981697,173.72581590463773,132.08520190223044,124.22152002903742,588.4972858866104,857.7285886610374,967.1860675512665,2146.973763570567,2944.979191797346,2012.8054885404101,0.11051502145922747
E Weiss-NE,2019-07-16,0.4028720969831163,15.791821817860846,0.22845418993241512,0.2153525784178717,0.13796532415260512,0.23182021905748412,22.48006967793175,0.164236982832618,0.5230776166064773,0.47841578609331503,0.048608439636799984,-0.0930703981849765,0.22888880913115373,0.3438460027387339,0.07164441541845495,-0.19903979351394852,145.8006460849159,157.63862762186997,127.52380817879458,171.24774122826847,126.33778912872295,118.35013977377996,543.5665236051502,828.7875536480686,935.1137339055794,2190.835032188841,2642.8057939914165,1662.491416309013,0.0
E Weiss-NE,2019-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
E Weiss-NE,2019-07-26,0.3517410962009953,16.055001993999756,0.20263584963714418,0.228395212733737,0.039954286332097445,0.20914246699699418,20.17006225593802,0.14204155877616748,0.5458808826490696,0.4875774500410068,0.07112434422565453,-0.1639437171287262,0.2067218862659794,0.38544586609769194,0.05839826758454107,-0.24941172630434782,147.56591587839713,156.28642867007446,131.9488416048993,166.5373733402582,131.08697021363207,124.32134710702731,628.7045088566828,924.7984433709072,1084.507514761138,2243.925389157273,3122.8553408480943,2078.0877616747184,0.000536480686695279
E Weiss-NE,2019-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
