Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
Mid Weiss G,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss G,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss G,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss G,2018-11-13,0.22794811098867604,19.14045850965326,0.17983121873496694,0.21508810963145109,-0.1346870218082238,0.10534112699151148,10.760273146162692,0.04445033026222536,0.5852333458673018,0.4999706069076193,0.13528227364881426,-0.30704970290422673,0.10129214420585726,0.28714853479801566,0.01281142360382708,-0.22104711042168676,165.75105625688545,163.5299597395429,156.06782612369497,162.61566668995331,154.9464562161107,153.4150995354245,533.2877391920624,675.9195605953224,861.5666194188519,1371.3671155209072,2578.6754075124027,1791.9142452161589,0.0
Mid Weiss G,2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss G,2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss G,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss G,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss G,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss G,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss G,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss G,2018-12-18,0.20943327621985686,20.909457259849074,0.19059123284376248,0.21439250817159144,-0.1274494730547996,0.09966264885065695,10.099973390269863,0.03988003727865797,0.5732862630682384,0.4881113620832656,0.1382083923920839,-0.3104660448040936,0.09543006239761981,0.2988738176700839,0.010804235256290779,-0.22560431708294504,161.63692056773954,160.80917721011494,155.46197650055038,161.14836265007258,155.19047000809567,154.30159482788858,556.403541472507,725.9813606710159,921.6421248835042,1410.5526561043803,2675.1183597390495,1817.5489282385834,0.23954642097802978
