Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
Mid Weiss J,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2018-11-13,0.23802892552041077,18.93625058400856,0.18235873313862055,0.21709289178104701,-0.11462461988817002,0.11641366806042552,11.717518499843715,0.051573092240117135,0.582790790289023,0.4945097854423341,0.1357478657571996,-0.29082097339444346,0.1117976445826514,0.3074429201171303,0.017400537598828703,-0.23134955220351391,162.87740826193382,161.08041862569425,152.58169033306098,160.65028729975955,151.53704379627223,149.74117275284704,555.1910688140556,721.2115666178623,926.2386530014642,1506.497803806735,2723.787701317716,1883.1002928257687,0.0036469730123997084
Mid Weiss J,2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2018-12-20,0.21980749596490562,19.47845023763047,0.1800989230216719,0.1987621694126178,-0.0959567154208113,0.10992493162278742,11.003065268381027,0.04843848791208791,0.5481205464549332,0.4634387772501603,0.13014809250738835,-0.27131244896607276,0.1058175997644442,0.312211780021978,0.015327639648351654,-0.22145589375824176,158.67794430281864,158.95911625303208,152.0344872029941,160.34128851273917,151.86479090159253,150.2459247103594,587.0007326007326,778.8014652014652,979.8432234432235,1534.0168498168498,2660.0893772893774,1847.2058608058608,0.00437636761487965
Mid Weiss J,2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-01-07,0.5649413715858539,10.247121185878747,0.20704217839512656,0.16877046525296746,0.2985389954140463,0.3054679092793807,30.16916166886353,0.15646800000000005,0.8522545056235602,0.47494763870327905,0.22229010626826445,0.10000961017380094,0.23276317131449448,0.28201183500000004,0.13005426000000003,-0.142266995,142.13713970360305,133.69237334920422,109.40350504523322,130.68059592847763,107.22077550249068,104.86158257049786,-82.0,260.0,781.0,2432.0,1943.5,1276.5,0.9985412107950401
Mid Weiss J,2019-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-02-01,0.235319772044773,19.602880898837725,0.18813663084096796,0.2188554237554447,-0.08336500935205349,0.1309555956238767,12.786228164064129,0.04798181443298968,0.5973290021626309,0.47271857292216507,0.18313649419767655,-0.26724991647392504,0.12000150074114758,0.3598295189690723,0.026780759484536093,-0.2644841421649485,154.6383318691209,150.01177783568278,144.05761629229266,148.20154616360617,143.46762033560623,144.02498250784382,551.680412371134,794.8453608247422,1130.0927835051546,1826.4845360824743,3155.5876288659792,2155.6082474226805,0.9292487235594457
Mid Weiss J,2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-04-07,0.21209828437746314,17.318785969169483,0.15386340048694197,0.20877070848632315,-0.14247609105219447,0.11309799630608217,11.143979979173759,0.053023883408071744,0.548427154836451,0.47291256071717536,0.12059823045503681,-0.2898996240320991,0.11093449019451417,0.3533745354110613,0.011311281001494776,-0.2626777539237668,157.2839033657035,159.50674651320156,152.80808099267583,162.5653588650185,153.130554581081,151.13098901285892,668.3602391629297,887.6591928251121,1089.5493273542602,1676.485052316891,3041.6427503736923,2229.979820627803,0.024070021881838075
Mid Weiss J,2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mid Weiss J,2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
