Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2
T-110_2021-07-22,2021-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-110_2021-07-22,2021-05-27,0.2744163887565507,10.814210649321321,0.1049363551692021,0.15876608807776232,-0.037423533645196114,0.18786692759295498,17.77997974823218,0.13234799999999997,0.46250256831723857,0.4006296733569461,0.08037383177570094,-0.1418030157202438,0.18977957892655922,0.48774811,0.044431750000000006,-0.29924262,140.60822260968894,150.06400862497784,132.93717051629545,162.9102250064142,133.97840515047338,128.32888356494306,885.0,1308.0,1523.0,2675.0,3559.0,2883.0
T-110_2021-07-22,2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-110_2021-07-22,2021-06-03,0.32592592592592595,11.690339411826713,0.12991339107261826,0.18102242492569437,0.013781385690013215,0.21878453038674034,20.741798914805393,0.166524,0.47286148501953973,0.42610889215892367,0.05623836126629423,-0.11634029948987988,0.22376674012544495,0.4628383200000001,0.06068337,-0.27817691,140.9006972300796,153.3520801714074,128.71932344827647,169.73664521752266,128.8879919778737,121.68796331587092,817.0,1214.0,1365.0,2685.0,3392.0,2612.0
T-110_2021-07-22,2021-06-05,0.2823614807645778,12.262515125711468,0.12304101367122375,0.15552669779717793,0.003787878787878788,0.19166757910872662,18.15257138953769,0.13622399999999998,0.4495373359156445,0.38857967429396,0.07698113207547169,-0.11930874044533067,0.1933335542228554,0.47061369000000003,0.04928478,-0.27308838,139.0729404572622,148.89099467789978,130.50779173316423,162.28560019278288,131.45004428096303,125.53151682069746,861.0,1279.0,1483.0,2650.0,3368.0,2630.0
T-110_2021-07-22,2021-06-10,0.3346430910281598,10.785985316191486,0.12130041404692532,0.17089538310412575,0.03242147922998987,0.2400062623943221,22.649676786792543,0.19002000000000002,0.4673891230182621,0.4115830115830116,0.06444226365718024,-0.08922985252495158,0.24601213210514492,0.51309887,0.07446800000000003,-0.29824703,138.97580949336964,149.7620402891689,123.25346966851501,164.83965279935853,123.13237273296525,116.66111822177389,883.0,1327.0,1524.0,3057.0,3656.0,2865.0
T-110_2021-07-22,2021-06-12,0.33142720991184177,10.515053625289848,0.11694510739856802,0.16076758962702759,0.03789004457652303,0.2268674567793846,21.471265658721002,0.17425200000000005,0.4521276595744681,0.40029920923274204,0.05977093772369363,-0.07940691927512356,0.23030563925957817,0.46793853000000013,0.06719537,-0.26558343,138.90048786453465,150.84218986856078,125.70122842921272,167.14822985079817,125.87512158507114,118.939240888979,815.0,1236.0,1403.0,2794.0,3276.0,2590.0
T-110_2021-07-22,2021-06-15,0.3010228933268388,13.175426188868851,0.1397552989832845,0.16343650174502156,0.03386878265918328,0.20360202064572805,19.288968250063885,0.14584799999999998,0.45811287477954143,0.39477013918177983,0.07712467240733807,-0.10639009702241552,0.20300900072268574,0.46101433,0.05751845000000002,-0.26308233000000003,138.16978997285497,147.89046131269177,127.70092549981342,161.2793700860585,128.35577841724165,122.32346458701443,808.0,1229.0,1435.0,2671.0,3307.0,2496.0
T-110_2021-07-22,2021-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-110_2021-07-22,2021-06-20,0.34422981674096087,12.270659682917085,0.143857192859643,0.18170333611342787,0.05193798449612403,0.23069263111307814,21.874173019109445,0.17598,0.4730673878746901,0.42334494773519166,0.05711127487103906,-0.09261116683383484,0.2330181720646416,0.45162860000000005,0.06949783000000001,-0.26147619,139.46682691250984,151.73029954590544,125.45516178534301,168.099867113314,125.42304727984238,118.27213315872564,766.0,1169.0,1324.0,2714.0,3268.0,2446.0
