Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
Bill's South,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bill's South,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bill's South,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bill's South,2018-11-09,0.20851694617943248,17.415987990972354,0.1552667513974377,0.16576424972062107,-0.06742656037769044,0.11233899441619632,11.048581318607848,0.0520476370510397,0.49132857073323655,0.4098544269003461,0.12114618895957523,-0.22041805695028124,0.10869702493438109,0.34270129977630753,0.015381545207939518,-0.22037215360113432,150.875097945253,154.42226873788593,148.5090603569715,159.1133908596814,149.70719693247943,147.90677119437908,666.8374291115312,922.7047889098928,1131.7155009451797,1719.5856962822936,2688.442344045369,1975.1379962192816,0.2912014292094685
Bill's South,2018-11-13,0.2105125231660735,17.507606612799634,0.1563484848412103,0.19392414075600586,-0.12152860633133797,0.1094180961305689,10.853879276759809,0.04625555242850662,0.5439590580914901,0.4564584868463744,0.13572988346967974,-0.2726369822239684,0.10535336575138772,0.3379211833091238,0.012783773352246949,-0.24196176787562412,157.29170162461827,157.5800603634584,151.941610631588,159.107755368556,152.15068743179467,151.13196250125497,632.7326373127553,848.1200635497049,1071.7312755333635,1635.1958692691785,2841.5283704039944,2079.0814798002725,0.0160786065207682
Bill's South,2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bill's South,2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bill's South,2018-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bill's South,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bill's South,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bill's South,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bill's South,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bill's South,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bill's South,2018-12-18,0.19402025939305398,18.820017866027907,0.1629747451013983,0.1902458645800421,-0.1213607969850733,0.10008439782949882,9.94457569516816,0.03869087807056722,0.5373790766737185,0.44830416476461116,0.1413834843917036,-0.2787934727677137,0.09577066600923967,0.33139796694506446,0.009937472818222418,-0.23538886056275132,156.03709847350805,156.5506033633331,152.9425305375699,158.32735163585673,153.64487352111263,153.4094618897829,624.3608753907995,844.5698972755695,1070.129075480125,1583.1715051362216,2790.8142027690933,2011.9937472085753,0.0
