Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
Cameron Place W,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2018-11-13,0.20444351652024173,17.045691336199532,0.14833386204980012,0.19753976132793993,-0.15521189750232087,0.09931098407133203,10.011318395611013,0.04194216883116883,0.5509200275285526,0.47209635641814485,0.1273472473815553,-0.2966083251204335,0.09673403063179978,0.31111317794372295,0.00764324794372295,-0.23254109766233763,162.2780319597124,162.39063959336193,156.81685520307062,163.4290366930724,156.66001426228044,155.35691594546043,606.48556998557,779.5930735930735,965.2435064935065,1457.6298701298701,2675.118686868687,1985.8405483405484,0.0021598272138228943
Cameron Place W,2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2018-12-18,0.19212207227852962,18.66683363445498,0.15984544057502265,0.19834124133586567,-0.15475351615916522,0.0914560892682238,9.266358713881642,0.03695541252699784,0.5476464907539775,0.4711183611273113,0.12684327814631005,-0.30693511872780743,0.08868235408031656,0.30229313671706265,0.0052674784737221075,-0.22577899118790498,161.18548899704177,162.13975977687542,158.00851209989304,163.8895316711751,158.34293719221114,157.39825079520085,594.0071994240461,769.7235421166307,946.5896328293736,1394.829373650108,2624.213102951764,1902.0964722822175,0.0
Cameron Place W,2018-12-20,0.1956543639648221,17.341285364149545,0.14814911610755513,0.18813150532588246,-0.1482570514668956,0.09372401814560252,9.481086064961731,0.041345546436285095,0.5289975783056743,0.4594005986164307,0.11327705194048765,-0.2899639714403502,0.09215066613799625,0.30265059437724984,0.00549931443844493,-0.22011953376529877,161.61618844515783,163.45207330070016,158.03678762749232,165.90056732460434,158.28006201446405,156.5218964431696,617.9744420446365,790.1396688264939,950.6645068394529,1411.6882649388049,2557.3066954643627,1898.4532037437004,0.0
Cameron Place W,2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-02-01,0.2307327617043392,18.38458523933753,0.1724346348477074,0.18408816757704982,-0.0937859156534907,0.10203822183445305,10.54971871404968,0.035130375000000005,0.5794867483699813,0.46393064845006576,0.17113575484349217,-0.26172947790039064,0.09230573295904998,0.25607531781250004,0.016881959375000005,-0.1870619759375,159.4078902249205,157.3361646575653,153.16379198952873,156.8965462420711,152.9928854393803,153.06649827966422,407.34375,585.40625,805.625,1288.15625,2208.9375,1560.96875,0.9884809215262779
Cameron Place W,2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-04-07,0.2217986720923967,16.15108791299881,0.14549104655173795,0.2000972920529784,-0.14084457612467577,0.11201972403654195,11.18097500645905,0.057446138228941686,0.5347888906610427,0.4726067196273842,0.09806213727253921,-0.28049110250931836,0.11067651734813118,0.3281001105795537,0.01076707142908568,-0.24083642338012964,158.13501936437206,162.817594497609,154.53908413196888,167.90656231135304,154.98875505034337,151.5908478032633,640.8156947444204,846.6972642188625,1000.4953203743701,1566.041396688265,2779.2361411087113,2075.7897768178545,0.0
Cameron Place W,2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-05-12,0.3018167857374749,14.65596321934083,0.15861242181939247,0.21020185155127807,-0.05515432515355165,0.16378205914389768,16.07699649210694,0.10621868682505399,0.5261017598253719,0.4824331070904799,0.05951897170505927,-0.2118160143966037,0.1651865624455024,0.3493007418826494,0.03269472103671707,-0.24030404961483082,153.77503862261398,163.40907992585727,144.27036007812515,173.55838847891465,143.89594981776048,136.79122156393817,650.5968322534197,889.532037437005,1001.1281497480202,1859.6537077033838,2854.3765298776098,2074.969402447804,0.0
Cameron Place W,2019-05-13,0.3012312716975795,14.575516338301863,0.15757160762087324,0.20416468809761312,-0.0424012843170223,0.16693393674992882,16.316537904503022,0.11158770194384449,0.5104363768258962,0.4713554193614227,0.052718241748699254,-0.19857925108429514,0.1710465108755553,0.3586188655795537,0.03381416934845213,-0.2393103046436285,153.52550271456937,163.765177817561,143.32480603093077,174.62096043281366,142.87079877546765,135.39193814298542,692.8419726421886,934.2534197264218,1037.2739380849532,1923.7940964722823,2870.8858891288696,2092.3725701943845,0.0
Cameron Place W,2019-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-06-01,0.3960422083243767,13.98076020920292,0.19347195280308072,0.2270718588701326,0.052728180588221506,0.21857935034743364,21.381220483345945,0.1592219508644222,0.5283506704852747,0.5091491439386139,0.022652302067352668,-0.14201280938182434,0.22083490158165528,0.3422058785987261,0.05886832099181074,-0.22009793486351228,148.68694005287043,164.47298207476385,134.18016792257762,181.69186011733683,133.31227338467278,123.96121790021843,574.7538671519563,845.8575978161965,893.7638762511374,2051.3703366696996,2735.902183803458,1853.3489535941765,0.2087832973362131
Cameron Place W,2019-06-06,0.4171576118060014,13.493374885503124,0.1975393294346876,0.2355631479472988,0.05631016359685915,0.22568721793714536,22.170079903323742,0.16748979697624192,0.5342577859370845,0.5282587623419694,0.007664301619436637,-0.14265364128795968,0.22942942993621046,0.3339524805651548,0.060685166177105836,-0.21764547587113028,149.08910844333644,167.10648075679882,134.29322249827487,186.4154960525347,133.3566783333333,123.30688734180244,556.4521238300936,822.3441324694024,839.4442044636429,2021.0928725701945,2696.4251259899206,1812.9802015838734,0.0
Cameron Place W,2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-06-26,0.4520271299729313,13.012486724306797,0.20907093019423004,0.21964363586888408,0.14749258077780353,0.2579663065168618,25.058755190611976,0.1945648676470588,0.5175575100398875,0.5013726115127737,0.016625963624142228,-0.06342062094899231,0.2566812866501602,0.33727621645833333,0.08091312197303924,-0.19487596088235293,143.7721302418643,161.44589041663744,125.55423168101632,181.97612577305605,124.48226693561203,115.15563172724859,504.078431372549,810.9595588235294,848.2058823529412,2239.700980392157,2544.0539215686276,1665.0379901960785,0.41252699784017277
Cameron Place W,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-07-01,0.48677645516888574,13.397286827904043,0.24080557418108478,0.2580697590516311,0.16590025686371793,0.2872867787749306,27.726187110063435,0.21738975,0.5722509771088242,0.5443505492516334,0.027153819223284786,-0.07789188623140847,0.28543274395280305,0.35370971500000004,0.09622357812500001,-0.215823774375,146.11211768646427,161.32119579617995,121.25027834118288,178.62920720141187,119.31806314620059,110.78212223218821,475.6875,766.75,831.6875,2411.6875,2817.0,1724.25,0.994240460763139
Cameron Place W,2019-07-06,0.4350145849495071,14.121860747321776,0.2204281393589236,0.23684999034747845,0.10431595258476677,0.23843245825347303,23.360515871680175,0.17618808759124086,0.5403611323917636,0.5268878142352437,0.015479020173616726,-0.1186347626737018,0.24116298339099537,0.3322313507603407,0.06912167816301704,-0.208715383959854,148.9672974547217,165.45853428976497,130.85176551526402,183.20884351789798,129.46413400638062,119.90665033641456,534.5334549878346,796.1514598540145,829.3290754257907,2088.7998783454987,2658.98296836983,1711.25,0.408207343412527
Cameron Place W,2019-07-11,0.3980970370240518,13.75419862089583,0.1919655815184917,0.23442361854986027,0.045613962574470125,0.2254926235661545,21.941362757979675,0.1630910021598272,0.5443667135398917,0.5155272381752135,0.03426341271615992,-0.14755811440169012,0.22712573795332994,0.35767955052555794,0.06226595765298778,-0.23424412481281498,149.14065919262754,163.1838621414462,132.7538054204143,178.6810700603731,131.634801672626,122.95473799142904,583.2005039596833,858.5410367170626,932.2332613390929,2144.6429085673144,2887.089272858171,1964.9780417566594,0.0
Cameron Place W,2019-07-16,0.42032095365186756,15.1657832000227,0.22902324101097918,0.21839135634448167,0.1419775390527009,0.2351199317952989,22.92488165114158,0.1693205745140389,0.5219835460050591,0.49133202606171483,0.03313037135262211,-0.08952122941518025,0.23326961993560322,0.32943504039236865,0.07148326565154789,-0.19204067896328295,146.16880903579496,160.4465077279937,128.41231493472728,176.43029470897886,127.22298885585434,118.45995059108654,519.4388048956083,797.3531317494601,867.1367890568755,2118.573074154068,2540.427285817135,1596.9647228221743,0.0
Cameron Place W,2019-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-07-26,0.3671123425601881,15.507286010965553,0.2030818271038482,0.2329458792570382,0.04103499622111838,0.21252393879730566,20.591372615443042,0.14855146454413892,0.5441362706950512,0.5005475055805504,0.05314546026756737,-0.163377901767892,0.2122666929721482,0.3708036217185239,0.0581508530137482,-0.2420413751193922,148.2490213038428,159.59695836755725,132.99420681504486,172.35016542080527,132.0879483115471,124.35925765237364,612.373010130246,896.3589001447178,1012.4218523878437,2169.764109985528,3018.373010130246,2007.6389290882778,0.005039596832253419
Cameron Place W,2019-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Place W,2019-08-05,0.36840025920570835,16.530305017138616,0.21943731041496795,0.23856984949212104,0.04121318899139261,0.2014477166949807,19.73795199464241,0.13557914902807774,0.5583785390045568,0.5141564455123729,0.05463390519815473,-0.17981859403491754,0.19905901583486216,0.34013236167386607,0.05351775923326135,-0.22699196676025923,150.5533990276628,161.12771779620155,135.7081390484979,172.54387638330462,134.66950487549101,126.8982889965994,555.6785457163427,809.4470842332613,918.0658747300216,1977.2580993520519,2844.234701223902,1825.479841612671,0.0
Cameron Place W,2019-08-10,0.3449291509574129,15.686940881998396,0.1933543448415054,0.23781765481063252,-0.010594906381451805,0.19224169751420025,18.766790470298595,0.1278596582552271,0.5600929835682156,0.5122933725375344,0.06187161126521336,-0.20354512758387988,0.19172168376671644,0.3607459741348234,0.047043604462869516,-0.2505511026784427,152.3008473522599,161.66475625861565,138.27330104872863,171.74801486301666,137.28860386809905,130.00537650439458,609.844989185292,862.5443403028119,987.9765681326604,2011.7757750540736,3037.7746935832733,2060.3687815428984,0.0014398848092152627
Cameron Place W,2019-08-15,0.3537675227216173,16.058633581679405,0.20334048211906441,0.23334471323067807,0.0274337838223269,0.2042776688133906,19.809521039482334,0.13969136135957064,0.5487707600203597,0.4992942215543159,0.06142167338486248,-0.1768855335613407,0.20326438622346824,0.37229008971824695,0.054681366954382846,-0.24634738145796065,148.89464947330333,158.92371573045827,134.2254272657323,170.2041761597978,133.3614167194989,126.05545577286243,617.5483005366726,897.58542039356,1029.695885509839,2142.8944543828266,3061.1462432915923,2032.904740608229,0.1951043916486681
