Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
Frey (Pino Beans),2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2018-11-13,0.21178742247744337,17.74569424462554,0.15859522293882933,0.19717147323918321,-0.13651188732295205,0.10200492967709678,10.307177110013752,0.04385686080332412,0.5508751428024161,0.4713372426426858,0.1263714173156324,-0.2887422028823863,0.09939136599651675,0.30542663407029086,0.009824703125000007,-0.2247254110076178,162.84606643633472,162.47476997068367,155.9725414035289,163.11433802445367,155.53872244296167,154.0409257792122,598.0015581717452,763.8500692520776,948.1996191135734,1452.4731648199445,2618.806613573407,1904.9946329639888,0.008922443376801648
Frey (Pino Beans),2018-11-23,0.2527388147394599,17.37936083295187,0.17115906235310124,0.17408987521929029,-0.06845043694111022,0.10793580636596495,11.28258913863408,0.042622963636363635,0.5726456211001247,0.461628036914647,0.15627193069704065,-0.23676351005311744,0.10006972834471956,0.24504956645454548,0.019426340000000004,-0.17262351290909095,164.3317712539507,160.90378191784734,153.4421185920704,159.212663397134,152.18641983005077,151.07461582992593,424.84090909090907,564.7318181818182,761.290909090909,1270.2227272727273,2058.65,1458.9272727272728,0.9622512010981469
Frey (Pino Beans),2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2018-12-18,0.1955678880491906,19.064955615349103,0.1656078394891862,0.19472296243310497,-0.13830179114402308,0.0930404144489037,9.430297661638614,0.0372394469408918,0.5449288883975661,0.46531805057169895,0.1297299573739043,-0.29702562964773255,0.09009570909511894,0.29963509823021073,0.006943661517455932,-0.21954159955755273,161.36295868116392,161.61188330216697,157.09573994308167,162.80303231338692,157.22437380248547,156.37168213154402,590.0670584168683,762.5388869685447,945.4016591773246,1402.1102661596958,2579.3909436571034,1848.6474248185275,0.007206588881262869
Frey (Pino Beans),2018-12-20,0.19804186257115572,17.923375944212147,0.15523336461279488,0.18361800168875198,-0.12922278605311077,0.09477469458554746,9.591842421021074,0.041859860110803324,0.5227248602935891,0.45174230165266127,0.11372251427169021,-0.27880838938325775,0.09289617843701915,0.2994252737967454,0.007074653002077569,-0.2124574768092105,160.6638612674191,162.58011359947557,157.00251067266012,165.1484290347807,157.29419355700563,155.53281847194626,611.5502077562327,787.1405817174515,949.7524238227147,1416.6087257617728,2503.3128462603877,1832.6823060941829,0.008922443376801648
Frey (Pino Beans),2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-01-12,0.3258649093904448,14.075643493010983,0.16065478777343184,0.11072974707201595,0.16283774021095218,0.18462974486621037,17.952169656817247,0.08851800000000001,0.4944972952807312,0.3238598810310641,0.17171968190854872,0.00224159402241594,0.15459163735834314,0.30199619000000005,0.06458526000000003,-0.146410405,136.07255040803824,137.5220089876971,125.74142532380068,141.66120855520683,126.40973140925044,124.31884159645762,287.5,677.5,1023.0,2012.0,2003.0,1448.5,0.9996568291008923
Frey (Pino Beans),2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-02-01,0.15186905288886107,21.33048669263114,0.16916574145329336,0.0717291314600486,0.07504896892456357,0.08457598146156053,8.256025503274486,0.01735399999999999,0.3583186524068635,0.23692329178033358,0.177447448577009,-0.09220547394688251,0.08013244564650177,0.32883553000000004,0.012724580000000004,-0.15006419833333332,146.59059480332976,144.00882066226143,144.81947131692735,143.9391614478933,146.31201802343858,149.82342176280378,728.0,982.6666666666666,1286.5,1736.1666666666667,2143.0,1537.8333333333333,0.9989704873026767
Frey (Pino Beans),2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-04-07,0.21804181830440364,15.902933130416555,0.14193501978633255,0.2033370464943718,-0.15484746835696225,0.11026846424219768,11.003714542049211,0.054810670625218265,0.5423376387982671,0.4776705448377546,0.10327398339911467,-0.29030195744632054,0.10915754036679157,0.3328787685365002,0.009321326308068463,-0.24870243907614378,159.61512019865944,163.23164280495106,155.34829694341835,167.2973555404983,155.60088871041143,152.61717554076677,650.4292699965072,849.619979042962,1012.8450925602515,1570.30195599022,2844.593608103388,2140.5817324484806,0.017501715854495538
Frey (Pino Beans),2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Frey (Pino Beans),2019-04-27,0.262131232063114,14.604390891957252,0.14360605742725957,0.19659752724539764,-0.062276025952462254,0.16965147762291843,16.15787170221615,0.11688266666666666,0.4940537800847438,0.44300835637714553,0.07234242498846541,-0.2038593193959337,0.17810444489961183,0.45831539833333335,0.03302836444444446,-0.30124750499999997,148.2337008065232,157.19356169402496,139.68296807720623,167.7215886466683,139.9505872869359,134.127510980558,906.4444444444445,1221.7777777777778,1393.5555555555557,2391.3333333333335,3602.722222222222,2699.9444444444443,0.9969114619080301
Frey (Pino Beans),2019-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
