Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
S School Sctn (I),2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2018-11-13,0.2277587982416726,18.450001580138338,0.17211319688788085,0.2197757122886317,-0.14486085945588223,0.1090810726252448,11.033367284873401,0.04734345542168675,0.5844361896216279,0.501432956468469,0.13231870702909587,-0.30911163650228296,0.10574873402300675,0.30412261950602415,0.01258031068273093,-0.23610073393975903,165.45693977627815,163.47357077236668,155.62055362950434,162.75974372951683,154.50180059148462,152.79740411641458,567.0674698795181,717.122891566265,908.0759036144578,1443.7156626506023,2729.2140562248997,1928.4839357429719,0.005591054313099041
S School Sctn (I),2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2018-12-18,0.20888008766944693,20.074639061808647,0.18138483812010217,0.21576806463479864,-0.13569035747642386,0.10240029211063284,10.294127372394147,0.04114299047619047,0.5727770427288479,0.4865999351814906,0.13974951794722168,-0.30934173421015043,0.0984428329424787,0.3121628954126984,0.010682410682539688,-0.2367940363809524,161.5035014694331,160.41378879196787,154.98553587813748,160.5811770459458,154.66785978185072,153.8397839493527,581.0142857142857,756.3714285714286,961.7126984126984,1469.8809523809523,2782.4031746031746,1928.3412698412699,0.4968051118210863
S School Sctn (I),2018-12-20,0.21199479754172385,18.93418293870788,0.17068466593241127,0.2070012831678822,-0.1317014401175009,0.10427528957116179,10.474111412400434,0.045319224193548384,0.5570735444929119,0.47759131796048543,0.12708783485293784,-0.29563935857850515,0.10189232121699464,0.3118011989233871,0.01064545657258065,-0.23157472375,162.69257966345333,162.1131652815383,155.32330238362633,162.58797081967313,154.7841221978652,153.2080054973222,607.2116935483871,773.0608870967742,961.1669354838709,1479.6653225806451,2716.928629032258,1924.9975806451612,0.009584664536741214
S School Sctn (I),2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-01-12,0.16114790286975716,26.17572847856179,0.22124516355962012,-0.01610581395348836,0.310495172843351,0.10157699443413729,9.701050215102393,0.04899600000000002,0.14549653579676675,0.06633906633906633,0.10693916349809886,0.09583333333333334,0.10534670611155207,0.35839065000000003,0.023771349999999997,-0.07582538000000001,133.99199646065196,138.63182964916962,133.34837470411435,145.54668432193645,135.8754419623509,134.61588856372802,982.0,1295.0,1520.0,2104.0,1736.0,1107.0,0.9992012779552716
S School Sctn (I),2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-02-01,0.22248454117891056,19.350194873928537,0.17895321130191832,0.1836079260918825,-0.06674898346860765,0.11183613065149764,11.177735623084724,0.03920757615894039,0.5534780936244453,0.437174478652386,0.17154947188362374,-0.2416046966329759,0.10298346059368706,0.3126799540231789,0.019343851142384114,-0.2133564577649007,156.29711851007136,153.05866049151314,148.49663825198527,152.06647313678542,148.3092865588406,148.8793785960597,544.2384105960265,752.524834437086,1021.8096026490066,1585.8096026490066,2596.514900662252,1809.3774834437086,0.7587859424920128
S School Sctn (I),2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-02-26,0.21273230525899564,16.909654062540813,0.14974358974358976,-0.042122354597638884,0.2982010582010582,0.16046927818651824,15.12944018986424,0.12499200000000003,0.10962633011630785,0.059296007559650366,0.0626018910987936,0.15539649651535128,0.20731378366922287,0.5018757,0.04482238000000004,-0.10181540000000001,147.5423296264343,148.04207706086834,121.70728789383082,150.1098868488058,119.1136763338153,113.19698190672895,1605.0,1799.0,1991.0,3067.0,2242.0,1658.0,0.9992012779552716
S School Sctn (I),2019-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-04-07,0.21663539143906674,17.14332951838049,0.15365045513103215,0.21388261696290975,-0.15589192247399622,0.11034118541393641,10.987478522962807,0.05234651231527093,0.5578335884010257,0.4868318087232565,0.11455513694999134,-0.3021937147772314,0.1082972942717909,0.3346361129761905,0.009965834626436788,-0.25563810738916254,159.88049197293086,162.22180170378508,154.99929138231806,165.1683918429827,155.0841052059444,152.68123833518575,634.8563218390805,831.5997536945813,1011.5036945812808,1569.9170771756978,2930.59934318555,2150.749178981938,0.027156549520766772
S School Sctn (I),2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S School Sctn (I),2019-05-12,0.3233566321167436,15.164336621778865,0.1743641953924756,0.22664052870429321,-0.045792342472607175,0.17278107648172358,17.013122280271585,0.11204384402924451,0.5503882161048347,0.5058717805270373,0.059666105437388144,-0.21828750251798043,0.1741968616007716,0.339589962392364,0.03703689608448417,-0.24037079045085297,156.59166111307786,165.13019584484496,143.62623935329586,173.83850384670018,142.51613230890095,135.2306386432386,614.2562956945573,827.8834281072299,937.1287571080422,1833.5601137286758,2858.1860276198213,2010.2432981316003,0.016773162939297124
