Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
Section 34,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Section 34,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Section 34,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Section 34,2018-11-13,0.22015510214007283,17.2404797086356,0.15629882350439442,0.21078046169221398,-0.14725354530181592,0.11046436725174012,11.041266064943859,0.05039761099796333,0.5625457236870701,0.48503534777579455,0.12319827031749032,-0.2966283018647721,0.10871969965231258,0.32414545061099803,0.011298047055329266,-0.24556980941785475,163.61612774254777,163.06783556828134,155.14312863064845,163.5144277086371,154.37098950414023,152.3716123943358,626.3823828920571,792.8923964697896,982.2055329260014,1537.2781737949763,2827.320095044128,2064.365580448065,0.0
Section 34,2018-11-23,0.2503008971701354,17.025288600240977,0.16562456721071322,0.1903092778777348,-0.07933264260410491,0.12167600858241859,12.274447856892818,0.05109013415574403,0.5724956959973585,0.4639273788009212,0.15406255726068432,-0.24168509630571697,0.11476678281335098,0.2991471269506555,0.022201112413261375,-0.21309190145335394,161.4534729374712,158.07822224150843,149.6892693810466,156.6062312546732,148.4750842827559,147.24063678419208,519.4117193523516,692.4749421742482,926.9236700077101,1535.7023901310718,2522.504240555127,1805.1006168080185,0.5597420230821453
Section 34,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Section 34,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Section 34,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Section 34,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Section 34,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Section 34,2018-12-18,0.20013834238285533,18.715508893296175,0.1635627694885361,0.20521302116379206,-0.14079703971295707,0.10270144914840838,10.210874574334062,0.04324447250509163,0.550374889688466,0.4695722829132991,0.13089560834854072,-0.29742672221183114,0.10049050208984137,0.3329936908621861,0.008830275831636125,-0.24647683468431764,160.27812907938372,160.21354915704833,154.81135339192102,161.22266578147426,154.76655759306152,153.7317102133413,647.3010862186015,836.0342837746097,1041.2243720298711,1563.8224711473183,2880.661914460285,2072.030549898167,0.0
Section 34,2018-12-20,0.2046950032910793,17.2848173427782,0.15094762941613377,0.1935758220970285,-0.13300451777117567,0.10552745622377802,10.480963277345424,0.04738490427698576,0.5339504630176741,0.4569410902245353,0.12188987343907451,-0.2782849430617661,0.10437329925571263,0.3316980664409371,0.009660283866259342,-0.23909643936014943,160.81823807653737,161.20028633795386,154.57730037413307,162.52014852149435,154.36081759420176,152.69994274620734,664.4314324507807,848.0030549898167,1041.358791581806,1579.889341479973,2791.0166327223355,2060.1953496266124,0.0
