Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
South Pasture,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
South Pasture,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
South Pasture,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
South Pasture,2018-11-09,0.19006164583362684,16.792908234006035,0.14171083650855237,0.15164355891259923,-0.08167736802130227,0.09932363319310303,9.836866035168915,0.042735164933135214,0.4736327608304882,0.39386351233333583,0.12160832930924469,-0.22077652299779282,0.09592778515976468,0.3285434515378901,0.01005827121099555,-0.20852093584323922,151.0281279069658,155.0046901543113,151.27904075257518,160.06574479238532,153.01694535847952,151.85326816790112,658.3391530460624,909.229940564636,1107.5902674591382,1619.2526002971767,2533.380014858841,1910.570208023774,0.35132530120481925
South Pasture,2018-11-13,0.19328130107043628,16.891318831430294,0.14349289213398317,0.18372299938530082,-0.13607855512892517,0.10036894732356051,9.957327789904884,0.03981795335276968,0.5289969312489254,0.4432991429272887,0.1361802521234154,-0.2741275620232849,0.09714845413046576,0.34011595535957245,0.00805984558794947,-0.24161307655004863,156.79598516743084,157.53727502290198,153.67806755104218,159.46418229538574,154.35273416567543,153.91855606593307,657.7645772594752,877.1878036929057,1098.4127793974733,1614.5867346938776,2819.3350340136053,2117.1768707482993,0.00819277108433735
South Pasture,2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
South Pasture,2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
South Pasture,2018-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
South Pasture,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
South Pasture,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
South Pasture,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
South Pasture,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
South Pasture,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
South Pasture,2018-12-18,0.18071871301337822,18.367775318328565,0.15318186859296234,0.18086668193589897,-0.1324703788516711,0.09139439251496166,9.122452643690966,0.032517391807228915,0.5264932613341301,0.4381260422131092,0.14297985958806866,-0.27993261702310246,0.0875295891848836,0.3243447037397591,0.006066516351807235,-0.22915092940722895,156.0899128665568,156.87177669056103,154.81055766876523,158.8482508814212,155.87016106477222,156.19600650480837,626.0824096385542,843.4265060240964,1062.3493975903614,1525.3310843373495,2702.3749397590364,1989.0809638554217,0.0
