Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
W Wollen,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
W Wollen,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
W Wollen,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
W Wollen,2018-11-13,0.21957748302355107,17.602558952215496,0.16032259311870498,0.20134908164850518,-0.11874944682276134,0.11458945628542042,11.350531156233414,0.05155885420944558,0.5493977878082471,0.4650504760732158,0.12982638929796161,-0.2736651055129201,0.1120406911425324,0.33742792624572204,0.014325822597535938,-0.24441402968685824,160.13479430508957,159.62681639927627,152.066786180612,160.3269474341388,151.5795467354903,149.9325551791087,645.313826146475,836.1991786447638,1049.6300479123888,1638.8944216290213,2866.887234770705,2077.418720054757,0.009827177228058285
W Wollen,2018-11-23,0.2628199965170873,17.2310568935743,0.17328821463384989,0.20233142596331682,-0.04879128018624061,0.1479273106377034,14.413598853449551,0.06665691509433962,0.5735348543629504,0.4565421033739978,0.15947638399439312,-0.22017416920161295,0.13985715863223433,0.35879812096698116,0.03362807792452831,-0.2484191503537736,157.2099766308214,152.5642382089258,141.76195165571875,150.55001559888777,140.27317017636446,138.90291386232272,594.5117924528302,811.0117924528302,1115.7216981132076,1908.7193396226414,2985.4528301886794,2103.8985849056603,0.9281599457810912
W Wollen,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
W Wollen,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
W Wollen,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
W Wollen,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
W Wollen,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
W Wollen,2018-12-18,0.20168559408946565,19.152107560064078,0.1688720136282472,0.1985527025717166,-0.1207794132259335,0.10352431608549177,10.295011290897813,0.0429815061728395,0.5433530135861736,0.45889873826418365,0.13387638749539899,-0.28366701248336296,0.10035544343255266,0.3295637946330591,0.01069846696159122,-0.23739658983539083,158.33345102541165,158.5534663173676,153.39507708443986,159.9202000336741,153.57075815681983,152.66180479301926,633.2270233196159,833.0713305898491,1044.9128943758574,1572.8906035665295,2812.8161865569273,2001.5130315500685,0.011860386309725517
W Wollen,2018-12-20,0.20537347547411852,17.754136685987827,0.15615501398413895,0.18574292676039145,-0.11152754766748495,0.10608973368941266,10.535697494951119,0.04758085655456418,0.523056489980193,0.444207800959526,0.1223667105798033,-0.26296479212848345,0.10426352084896745,0.32888278290150996,0.011340825260809892,-0.22923029965511324,158.7824622424045,159.66694690982342,153.20644968146098,161.52709546630282,153.24026738873283,151.5996792464391,657.216540837337,852.0559368565546,1048.649622512011,1592.0487302676734,2719.636925188744,1986.0609128345916,0.01253812267028126
W Wollen,2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
W Wollen,2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
W Wollen,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
W Wollen,2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
W Wollen,2019-01-12,0.30911691092383886,17.934690195254156,0.20462571222372072,0.08542948744406503,0.24450677933065737,0.1751227522075731,17.05121566211338,0.0713925,0.4823177698917742,0.2671875793185181,0.20763230798721274,0.04371959091950294,0.14898955517478168,0.29566552562500004,0.06540281875000001,-0.119926796875,142.01597783419265,136.27850890086677,124.88783775143023,134.80276453406893,124.10626357685338,123.98104100750717,359.1875,658.9375,1074.0625,2019.5625,1845.25,1216.1875,0.997289054557777
W Wollen,2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
W Wollen,2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
