Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
West Pasture,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2018-11-09,0.19432972842296584,17.148941132138038,0.14671614013945286,0.16138035321822716,-0.08661496385579806,0.10297766294141751,10.165091627281484,0.04543491507268553,0.48579128308924174,0.40627817818819034,0.12141117720216865,-0.23036007054195057,0.10002122221290269,0.3354508409678655,0.011001158307192048,-0.2173320098163735,152.10057636115502,155.56326391313627,151.03325658089,160.07296276028592,152.40904292023677,151.07162155615208,670.2641545524101,914.4709257842387,1116.1484315225707,1650.1526396327467,2629.6864957918897,1962.2637719969396,0.00456968773800457
West Pasture,2018-11-13,0.19798829238568386,17.11550646207317,0.14740271117544707,0.18821461931527494,-0.12779366041239756,0.10675239124592885,10.497998716462973,0.04269877263894286,0.5342499877336512,0.443887085504113,0.14166919926163124,-0.27004199659288025,0.10311291812332117,0.3551340119277109,0.010762199352895463,-0.25209043865332287,155.7877061939299,155.92390083582671,151.61544284961607,157.43919085793985,152.1350165566695,151.79727887480846,671.9970851146521,902.4632724446171,1144.8672755538282,1703.9908666925767,2951.4881461329187,2197.464827050136,0.020182787509520184
West Pasture,2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2018-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2018-12-08,0.17113945108598388,18.286236271602466,0.14854791559530706,0.014477346847273892,0.16844778469471827,0.11429923393314015,10.850823174032794,0.04082700000000002,0.26962057161636993,0.15010789092804683,0.15757952427319516,0.020752254427433045,0.11450653459145035,0.4144864425000001,0.028143475000000008,-0.137844185,138.87839139758444,135.2001358037556,130.66879125229713,135.47358089567976,131.53895138738824,133.24849550912649,992.25,1313.25,1688.0,2377.5,2274.5,1685.5,0.9992383853769993
West Pasture,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2018-12-18,0.18339724690339845,18.53059836529002,0.15575508795103823,0.18544724899136095,-0.12740859911313313,0.09661985991522397,9.548577905039577,0.0359710099009901,0.5267643598969343,0.4385034519634088,0.14183225750273645,-0.2776328020763004,0.09309079436744523,0.3415051596610815,0.007455087589489725,-0.24066840611576548,155.1896304213943,155.95874078376906,153.3069884378816,157.99463576083224,154.29414097386038,154.4359975079594,658.4268849961919,885.7319116527037,1115.6862147753236,1614.602056359482,2846.8320639756284,2082.7147753236864,0.0
West Pasture,2018-12-20,0.18212072699268733,18.0043250685779,0.15037643388295918,0.1718862803905283,-0.11192899486857615,0.0962342977276881,9.505681040432929,0.03885734805788271,0.5016894478260597,0.42013336651476435,0.12928524597082625,-0.25792356141323747,0.0942004345369275,0.33917598169078444,0.007217680251332832,-0.22874057194402128,155.2969400031283,156.8707848057537,153.35389455987686,159.5485853652467,154.33060080957927,153.8206462127605,689.705826351866,911.4921934501142,1122.3996572734197,1620.7254379284082,2736.877380045697,2025.106054836253,0.0
West Pasture,2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2019-01-07,0.23138898849854056,16.204084916377926,0.1472760895874005,0.039101889047543456,0.16429204593448335,0.1350034884990547,13.139169893600394,0.06396599999999998,0.32001223352592567,0.20506652736331044,0.1384356122803678,0.02049946637130482,0.12670321139843618,0.36661146966666663,0.036985002,-0.12705582766666668,136.5208902768745,138.59508025292476,131.11340787587434,143.820724841706,132.88528441126041,131.98262897255793,784.4333333333333,1133.9666666666667,1428.2666666666667,2191.3,2041.4,1518.1,0.9942878903274943
West Pasture,2019-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2019-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2019-02-01,0.1881143612242111,18.726078534822367,0.15846390256292217,0.14588694357885276,-0.04946502350086602,0.10045113338865908,9.902615446338363,0.03430934693877551,0.4786450954940938,0.37528639127578534,0.1550772249560034,-0.20517076735601728,0.09479171708132615,0.34151207596209915,0.013120237346938781,-0.20667110638483965,150.20060477456158,150.08373693261726,147.85114223039156,151.7887134075077,149.11901597870403,150.1264458838894,675.2594752186588,929.265306122449,1193.2842565597668,1717.5641399416909,2594.9679300291546,1888.3411078717202,0.8693830921553694
West Pasture,2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2019-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Pasture,2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
