Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
West Weiss C,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2018-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2018-11-13,0.2261351392892556,18.199423934637345,0.16880921783164182,0.21348164273326042,-0.1422110876806267,0.10735405328406557,10.886482110578493,0.04707442581423402,0.5771645456915026,0.49573947918158845,0.12932461035114906,-0.30368008341440955,0.10414214227957358,0.29903900059107363,0.012222326800361888,-0.22935878615199037,165.07041844906908,163.65130215174958,155.90565392728485,163.37025463245558,154.91954492444162,153.1148110585514,563.4897466827503,714.2982509047044,898.0856453558504,1424.0943908323281,2655.295536791315,1889.1637515078407,0.0
West Weiss C,2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2018-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2018-12-18,0.2075009807429852,19.999857757713617,0.17993965381644964,0.2114648894808368,-0.13992688195419412,0.0979523514442693,9.946784698535518,0.039720945173745165,0.5699614420972015,0.4878671777528455,0.13397975209788385,-0.3119900176500322,0.09414626706472222,0.2967985030733591,0.009337509019305025,-0.22542085684169882,162.2979143839493,161.85698044496712,156.52518139579172,162.45523981617757,156.29153299821894,155.24449566234563,559.5042471042472,725.592277992278,912.3876447876448,1390.5891891891893,2644.9281853281855,1838.3034749034748,0.2189384800965018
West Weiss C,2018-12-20,0.2130657401145702,18.576062363813573,0.16737461470134754,0.19881209461437477,-0.12783060572304722,0.10164003973661138,10.29376846769154,0.0445101170084439,0.5508465573432508,0.47295992923371777,0.12352179213910916,-0.28899228877552374,0.09868886718740205,0.2967820247195416,0.010584003980699645,-0.21787863027141138,162.26917912129923,162.53521172875088,155.91605187917085,163.67363902137726,155.57678721919905,153.83153525766514,577.4873341375151,742.6423401688781,918.0968033775633,1417.2705066344995,2559.8377563329313,1826.0699638118215,0.0
West Weiss C,2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2019-01-12,0.13454535568041268,25.379695127086084,0.1990193021159439,0.0070833676212923155,0.20816929536007883,0.07817163056027487,7.583358537787278,0.029756972222222223,0.19395726716058068,0.1192844497797494,0.10974611879469685,0.011950024204031495,0.08115042360598333,0.35467690678240743,0.008252103379629637,-0.09768122986111111,141.76028305973236,144.51086014068662,142.99591569623655,149.3033719720663,145.54867539533976,146.1980166289533,1030.0902777777778,1285.0949074074074,1492.486111111111,1923.8055555555557,1872.8680555555557,1250.4953703703704,0.8697225572979493
West Weiss C,2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss C,2019-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
