Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
West Weiss D,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2018-11-08,0.11421899576790073,20.076394396041586,0.1448050936270101,-0.13444675057293493,0.3013170095862736,0.09047157739057457,8.590547379986853,0.04076400000000001,0.01708806420180163,-0.05118516046329851,0.10162421497418975,0.16411496276764614,0.11276425395171705,0.6066454975000001,0.007376407500000002,-0.07976672250000001,127.59807567630087,126.96337824868361,122.48593420418382,129.5713388228286,124.41803351540024,126.02875425953752,2062.5,2409.75,2750.75,3403.25,2415.0,1803.5,0.9974326059050064
West Weiss D,2018-11-09,0.23587857869983408,17.68819246710539,0.1679142417564209,0.19491921095276618,-0.09028485390385853,0.11816103813503231,11.8173920302899,0.05909048065173114,0.5348431869931288,0.46238321877185773,0.10854017097751764,-0.25433723305079126,0.1145314824132367,0.31223889906313657,0.01732751075356417,-0.21893258554989814,156.67516572625343,160.180915959519,151.20384384516598,164.32687714403517,151.37452578031724,148.2036293881884,587.9175152749491,794.4775967413442,963.9775967413442,1557.9531568228106,2611.9439918533603,1862.9623217922606,0.36970474967907574
West Weiss D,2018-11-13,0.23008854138355794,17.80659161044618,0.16669128074624975,0.21528699159710044,-0.13911806905666652,0.11251170076986845,11.32400163946445,0.05112501412066752,0.5744014087625966,0.4945612170593368,0.12573704426035545,-0.2988193270421881,0.10927775472687395,0.3142360021309371,0.013430050256739419,-0.2392867718035944,163.04362233267716,162.6087761174813,154.44818461257208,163.20127994633117,153.70054840738334,151.6080666307969,586.4351732991014,755.9229781771502,945.0019255455712,1504.8722721437741,2771.2362002567393,1982.3626444159179,0.0
West Weiss D,2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2018-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2018-12-20,0.21581439648218215,18.673957975119677,0.17003160748004237,0.19739649576517132,-0.11329734999964255,0.10630179812482433,10.678894150698914,0.04754014890885748,0.5445473109125523,0.46565557144058417,0.1232282273389134,-0.2779429659392685,0.10312351688975088,0.30991042695121956,0.012450131181001285,-0.22250593475609767,159.7926468807788,160.67998982362084,153.84918623912858,162.4967017772831,153.76006002628915,151.90528945207024,597.5250320924262,782.8459563543004,968.1142490372272,1498.961489088575,2639.4088575096275,1874.2124518613607,0.0
West Weiss D,2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-01-12,0.17737764894444258,25.432753094442134,0.2223964677035672,0.04710966588271887,0.20450229051179647,0.09859124568868216,9.645853907074038,0.04134795604395605,0.2775139625231961,0.18835796629991602,0.1220082668226959,-0.01624564967545388,0.09703331511741263,0.33246209820512823,0.019609307216117224,-0.10958453252747255,141.45926550911787,143.91639301278659,139.76904341677454,148.69323962376694,141.76984681657157,141.3672366357327,839.8681318681319,1111.2417582417581,1334.8974358974358,1864.3296703296703,1923.6153846153845,1225.9450549450548,0.824775353016688
West Weiss D,2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-04-07,0.22460275405885588,16.353174254610895,0.14860666309031365,0.20739360658169745,-0.14519280849627877,0.11484431002781174,11.430576669220212,0.05806388703465981,0.5467061959417414,0.4808475872464182,0.10422107766115896,-0.28748019158936783,0.11338386336120308,0.33579154973042363,0.011656321720154059,-0.2502992004557124,158.94221774270304,162.5644521236302,154.06635986866812,166.69981656714916,154.22869845335214,151.08246035007943,646.0044929396662,849.9300385109115,1016.7747111681643,1600.7445442875483,2879.982670089859,2137.1059050064187,0.0
West Weiss D,2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss D,2019-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
