Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
West Weiss E,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2018-11-09,0.22711825751017278,16.539743750906165,0.15189676322360937,0.19214754047825214,-0.1239967405473828,0.10912760669645863,11.032821602170243,0.05357722340425535,0.5373536059754181,0.4689821535078645,0.10539065339949262,-0.2707649972545353,0.10621341489747486,0.29848572075797863,0.012709859348404262,-0.21593433761968092,159.76034840618055,163.02887094892407,154.84513639390985,166.74598918292492,154.9313721894088,151.90088613885203,575.3085106382979,759.7327127659574,913.4002659574468,1451.9375,2516.621010638298,1854.593085106383,0.5154639175257731
West Weiss E,2018-11-13,0.21999848688371587,17.087818488972953,0.15461356263888565,0.21586051005500262,-0.1724477253215457,0.10387426051238802,10.550128788130259,0.04579831701030929,0.5792958309980117,0.5030575061842932,0.12422701616918462,-0.31847572178869094,0.10126809561974838,0.30329498079252565,0.00895708096005155,-0.23924767703608238,166.0288742270381,165.17768390019563,157.89583335392024,165.28371437723274,157.05639916535992,155.19266961712995,576.0399484536083,726.1037371134021,901.7036082474227,1409.9806701030927,2714.1971649484535,1988.1230670103093,0.0
West Weiss E,2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2018-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2018-12-20,0.207854813575281,17.911717391343572,0.15846860239639737,0.19838947324993517,-0.14530820802515676,0.09839065089012237,9.985835526665905,0.04323090463917527,0.5492713842248755,0.4753419019701212,0.11924137464581638,-0.2968871995608683,0.096211932357316,0.2977220359471651,0.008142478099226809,-0.2215338080927836,163.49586312133943,163.887699592015,157.46774889739143,165.06363201036663,157.13077773237723,155.345308205155,590.9007731958762,749.9632731958762,917.6224226804123,1399.4677835051546,2572.861469072165,1869.6204896907216,0.0
West Weiss E,2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss E,2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
