Plot,time,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,NA_pct
West Weiss F,2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2018-11-13,0.22614714336068706,17.2634530667196,0.15915112882326013,0.20425393217822926,-0.1356528732410835,0.1102393776720802,11.111377395203393,0.049006428089128966,0.5650876743989413,0.4822991356003627,0.12905488328492004,-0.2882635786276971,0.10646326776039801,0.3112906015124916,0.013299835793382854,-0.23226669476704928,161.94518942542098,161.65615063643332,154.25584713496517,162.45696651979537,153.73725505824288,151.92126173217093,580.08440243079,757.1006076975017,951.219446320054,1501.837272113437,2691.8305199189736,1958.3416610398378,0.08126550868486353
West Weiss F,2018-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2018-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2018-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2018-12-20,0.21487835145321824,17.641104602988094,0.15868076760235608,0.19068639498036746,-0.12229404601804247,0.1041375805932393,10.510563147000562,0.04702801603206412,0.5393624877592704,0.4625394460542927,0.12004574826214975,-0.2754247168763408,0.10088540633305368,0.30371943044088173,0.011460804368737483,-0.21793995474949904,159.89723794249332,161.37621755125247,154.76647788968583,163.71186595330687,154.83421677726477,152.85459956182837,586.7969271877088,772.437541750167,949.1396125584503,1467.1503006012024,2560.911155644623,1864.992651970608,0.07133995037220843
West Weiss F,2018-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-01-07,0.2177121771217712,17.43871526926033,0.15704027474242896,-0.0011092119467434047,0.26229508196721313,0.14089151694337052,13.410080473382068,0.063408,0.2432069775243207,0.1105783637998202,0.15411255411255412,0.10977660341100168,0.13433952444458902,0.36638869000000013,0.046349690000000006,-0.10048087000000003,134.45609741545024,133.55394364790615,124.9763913831424,135.62552193852903,125.7148309506213,125.28994439346219,779.0,1128.0,1484.0,2310.0,1853.0,1350.0,0.999379652605459
West Weiss F,2019-01-12,0.1395531782901013,26.383419538602798,0.211278749493369,0.0031090800468913937,0.23379495930685973,0.08117116390921104,7.87143434387429,0.03027028571428571,0.18977405660295105,0.11081339578929768,0.11381363678426776,0.025932759323075667,0.08366868547642556,0.35573170440476193,0.01059491107142858,-0.09215361964285715,140.79400085911482,142.9334029768522,141.16531943483417,147.3829511785229,143.61867760769815,144.39501000239642,1029.1309523809523,1289.095238095238,1508.2857142857142,1955.952380952381,1848.9166666666667,1204.3809523809523,0.9478908188585607
West Weiss F,2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-01-28,0.15318627450980393,16.753745542293043,0.1287647315582715,0.09765208181154128,-0.029396596183599792,0.11368229587712204,10.718661571406804,0.04591199999999995,0.39683111271155924,0.3034274193548387,0.1409847679773291,-0.1575649059982095,0.12059041065054503,0.56281608,0.010516460000000005,-0.29967412000000004,141.4696014587031,140.45541472285444,137.0582126763525,142.15096859437443,138.57567577237538,140.0738117534599,1295.0,1675.0,2073.0,2823.0,3879.0,2994.0,0.999379652605459
West Weiss F,2019-02-01,0.22892481747138893,17.40704157789593,0.16425590960049055,0.07716083874234492,0.1367862144002155,0.14686543950079328,14.029026778569676,0.05801700000000003,0.4046963511114364,0.2538162269173533,0.1791781978314452,-0.026181425717939584,0.13672886652915942,0.40725390250000004,0.04386995250000001,-0.18485436250000004,140.74363950976488,136.28871775376768,128.32067825940982,135.5535523517526,128.31918387261015,129.12531694953068,751.25,1092.5,1519.75,2385.5,2609.5,1913.0,0.9975186104218362
West Weiss F,2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-04-07,0.22916692888511067,16.342512024799678,0.14993988903633276,0.20066339489019483,-0.13048892305739784,0.11566090414041577,11.553992396729447,0.05944279677182685,0.5391180176403222,0.473390392702681,0.10244223611776132,-0.2746065798373841,0.11317450626281889,0.3253187078356567,0.013471440176082178,-0.23805351445341164,157.2935183958708,161.81423005102505,153.30132836452248,166.91199695556452,153.73563395519164,150.40697231682813,615.2384446074835,828.6969919295672,988.9794570799706,1575.4159941305943,2758.18708730741,2043.01100513573,0.15446650124069478
West Weiss F,2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-04-27,0.2955018246438693,14.466028413057133,0.15442242207853957,0.21299479683257327,-0.05235418688011433,0.17901149863140578,17.22480832064227,0.1236407630769231,0.5157698847117449,0.4712607149184585,0.06103752262458901,-0.20482788337507044,0.1855061457342865,0.4197494321538462,0.037512510738461555,-0.2853511760923077,150.93800532161418,160.7528232520525,140.0747942307979,171.77419718430437,139.74202515643745,132.79636644794596,793.0892307692308,1080.2553846153846,1219.3692307692309,2228.6923076923076,3390.1723076923076,2492.9846153846156,0.7983870967741935
West Weiss F,2019-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
West Weiss F,2019-05-04,0.3107965973642409,15.107219210152222,0.1682177575294634,0.20122710115342846,-0.01644224229271825,0.1704806058270409,16.709592474758416,0.11321496127562643,0.5086059854938875,0.4660577189262856,0.056458545294295684,-0.18328764846552853,0.17178136479333583,0.3487903362186789,0.03759043288534549,-0.22798968407744877,151.8537809273649,161.99424216035968,141.70902736963802,173.0825960285225,141.40558311988278,134.18412589244673,648.958238420653,901.2839787395596,1009.9293849658314,1913.8435839028093,2776.1640091116174,1982.9400151860289,0.18300248138957817
