"year","vegtype","siteno","growthform","plot","g.m2","season","shape","radius_m","lat","long"
2015,"wbs",1,"forb",18,0.300000000000001,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"forb",50,2.9,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"forb",69,1,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"forb",125,5.9,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"forb",150,28.5,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"forb",158,5.5,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"forb",159,7.5,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"forb",167,2.9,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"forb",176,13.9,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"forb",189,4.9,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"grass",18,36.6,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"grass",50,21.6,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"grass",69,14.6,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"grass",125,41.7,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"grass",150,39.2,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"grass",158,23.6,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"grass",159,44.2,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"grass",167,162.4,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"grass",176,45.7,"peak.production","circular",60,43.168158005,-116.7130521
2015,"wbs",1,"grass",189,23.3,"peak.production","circular",60,43.168158005,-116.7130521
2015,"los",1,"forb",235,0.5,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"forb",254,4.8,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"forb",275,16.9,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"forb",302,1.8,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"forb",350,72.5,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"forb",359,1.1,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"forb",378,0.300000000000001,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"forb",406,6.4,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"forb",431,4,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"grass",235,16,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"grass",254,12.9,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"grass",257,10.5,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"grass",275,45.3,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"grass",302,30.6,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"grass",350,29.9,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"grass",359,24.7,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"grass",378,46.3,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"grass",406,81.1,"peak.production","circular",60,43.14323135,-116.7361871
2015,"los",1,"grass",431,19.1,"peak.production","circular",60,43.14323135,-116.7361871
2015,"mbs",1,"forb",125,53.9,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"forb",130,35.3,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"forb",146,49.2,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"forb",150,135,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"forb",167,48,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"forb",176,82.8,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"forb",235,71.8,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"forb",243,77.2,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"forb",254,108.4,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"forb",275,32.2,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"grass",125,9.8,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"grass",130,11.2,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"grass",140,1.3,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"grass",146,8.4,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"grass",150,13.8,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"grass",167,12.8,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"grass",176,14.4,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"grass",235,21.2,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"grass",243,32.3,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"grass",254,10.9,"peak.production","circular",60,43.064119139,-116.7489159
2015,"mbs",1,"grass",275,12.3,"peak.production","circular",60,43.064119139,-116.7489159
2016,"wbs",1,"forb",1,5.46,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"forb",2,6.98,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"forb",3,3.76,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"forb",4,1.25,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"forb",5,17.88,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"forb",6,1.04,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"forb",7,3.12,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"forb",8,6.27,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"forb",9,10.43,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"forb",10,8.54,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"grass",1,24.8,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"grass",2,108.78,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"grass",3,27.48,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"grass",4,33.04,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"grass",5,24.98,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"grass",6,291.21,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"grass",7,16.88,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"grass",8,14.67,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"grass",9,69.81,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",1,"grass",10,24.05,"peak.production","circular",60,43.168158005,-116.7130521
2016,"wbs",2,"forb",1,2.6,"peak.production","circular",60,43.170171842,-116.7223203
2016,"wbs",2,"forb",2,4.45,"peak.production","circular",60,43.170171842,-116.7223203
2016,"wbs",2,"forb",3,3.54,"peak.production","circular",60,43.170171842,-116.7223203
2016,"wbs",2,"forb",4,11.97,"peak.production","circular",60,43.170171842,-116.7223203
2016,"wbs",2,"forb",5,4.64,"peak.production","circular",60,43.170171842,-116.7223203
2016,"wbs",2,"forb",6,7.8,"peak.production","circular",60,43.170171842,-116.7223203
2016,"wbs",2,"forb",7,5.01,"peak.production","circular",60,43.170171842,-116.7223203
2016,"wbs",2,"forb",8,8.92,"peak.production","circular",60,43.170171842,-116.7223203
