"","Block_name","Treatment","Date","Site","Ranch","Year","Low.reading_mean","Low.reading_sd","High.reading_mean","High.reading_sd","Low.rounded_5_mean","Low.rounded_5_sd","Low.rounded_10_mean","Low.rounded_10_sd","High.rounded_5_mean","High.rounded_5_sd","High.rounded_10_mean","High.rounded_10_sd","Sample_ID_vor","mean_biomass","sd_biomass","Sample_ID_bio","X_coord","Y_coord","ID","Block_Id"
"1","7","AD",2022-06-06,"MI","LC",2022,45.7272727272727,5.66679398889302,85.3636363636364,6.96621407423993,47.7272727272727,6.11930449037204,49.5454545454545,7.22249971716871,86.5909090909091,6.24621097267388,87.2727272727273,6.31085095901019,"2022-06-06_MI_LC_AD_7",1586.66666666667,329.524910540412,"2022-06-06_MI_LC_AD_7",-85.213424,44.306466,"7_AD_2022","7_AD"
"2","7","AD",2022-08-22,"MI","LC",2022,21.6,5.96310495376823,65.7,25.2137756545627,23,5.8131835897618,24.6666666666667,6.8144538746106,67,24.5511429609632,68.6666666666667,24.3159282737898,"2022-08-22_MI_LC_AD_7",1756.66666666667,314.710063776842,"2022-08-22_MI_LC_AD_7",-85.213424,44.306466,"7_AD_2022","7_AD"
"3","7","AD",2023-09-19,"MI","LC",2023,17.2666666666667,2.94704215634327,26.6,4.49213872724648,19.1666666666667,3.23859626182802,20,2.62612865719445,28.8333333333333,4.48817091485157,30.3333333333333,4.90132517853561,"2023-09-19_MI_LC_AD_7",1320,289.551377133662,"2023-09-19_MI_LC_AD_7",-85.213424,44.306466,"7_AD_2023","7_AD"
"4","7","AD",2023-07-20,"MI","LC",2023,6.46666666666667,2.97962429167508,22.1333333333333,16.8025723263317,8.16666666666667,2.78026708383768,10.3333333333333,1.82574185835055,23.6666666666667,16.8632089500176,25.3333333333333,16.9651434404199,"2023-07-20_MI_LC_AD_7",926.666666666667,528.494717728254,"2023-07-20_MI_LC_AD_7",-85.213424,44.306466,"7_AD_2023","7_AD"
"5","7","AD",2023-05-24,"MI","LC",2023,25.3,6.08644621977447,47.0333333333333,8.48724533245819,26.6666666666667,6.06478434863123,28.6666666666667,5.71346463723366,48.8333333333333,7.73297165226361,52,8.05155799872898,"2023-05-24_MI_LC_AD_7",2346.66666666667,494.233413142684,"2023-05-23_MI_LC_AD_7",-85.213424,44.306466,"7_AD_2023","7_AD"
"6","7","AD",2023-08-22,"MI","LC",2023,13.8,4.31037241370483,23.0666666666667,5.13898777993282,14.8333333333333,4.82152739666401,16.6666666666667,6.06478434863123,25.1666666666667,5.16675936142284,27,5.95963433268438,"2023-08-22_MI_LC_AD_7",1186.66666666667,507.017422448841,"2023-08-22_MI_LC_AD_7",-85.213424,44.306466,"7_AD_2023","7_AD"
"7","7","AD",2022-07-05,"MI","LC",2022,21.3928571428571,8.47365977915741,80.8928571428571,16.9297880928181,22.5,8.55266906574481,22.8571428571429,8.54493259282208,81.4285714285714,16.3218294440947,81.7857142857143,15.8823385321141,"2022-07-05_MI_LC_AD_7",993.333333333333,412.148840428633,"2022-07-05_MI_LC_AD_7",-85.213424,44.306466,"7_AD_2022","7_AD"
"9","7","AD",2022-07-28,"MI","LC",2022,18.2857142857143,5.40820462341037,71.9642857142857,19.0369662671363,19.6428571428571,5.76203594236084,21.0714285714286,6.28890010655795,73.5714285714286,18.4519969238072,74.6428571428571,17.7392936635746,"2022-07-28_MI_LC_AD_7",1053.33333333333,464.872742443205,"2022-07-28_MI_LC_AD_7",-85.213424,44.306466,"7_AD_2022","7_AD"
"10","7","AD",2023-06-19,"MI","LC",2023,40.2,10.6536378763313,85.48,8.15536633144091,41.8,11.0754984838908,42.8,11.7331439378654,86.2,7.25718035235908,87.2,5.41602560309064,"2023-06-19_MI_LC_AD_7",3186.66666666667,514.328040586291,"2023-06-19_MI_LC_AD_7",-85.213424,44.306466,"7_AD_2023","7_AD"
"11","7","PR",2022-08-22,"MI","LC",2022,8.34615384615385,3.16154781956317,21.7692307692308,16.6236161945774,9.61538461538461,3.44182420326109,11.1538461538462,3.25812593608421,23.6538461538462,16.0970613658327,26.9230769230769,16.9160824706504,"2022-08-22_MI_LC_PR_7",480,300.786846907785,"2022-08-22_MI_LC_PR_7",-85.2134085,44.305256,"7_PR_2022","7_PR"
"13","7","PR",2022-07-28,"MI","LC",2022,11.2142857142857,2.89772762640408,45.3928571428571,25.8304145816578,11.9642857142857,3.42628340763253,12.8571428571429,4.60043706228236,47.3214285714286,25.6573627746552,49.2857142857143,26.3773993366897,"2022-07-28_MI_LC_PR_7",660,374.165738677394,"2022-07-28_MI_LC_PR_7",-85.2134085,44.305256,"7_PR_2022","7_PR"
"14","7","PR",2022-06-06,"MI","LC",2022,46,6.54828221749796,82.9230769230769,7.86345001598193,47.6923076923077,7.37980612628397,50,8.94427190999916,84.0384615384615,7.21376888585028,85,7.07106781186548,"2022-06-06_MI_LC_PR_7",1720,684.923353376128,"2022-06-06_MI_LC_PR_7",-85.2134085,44.305256,"7_PR_2022","7_PR"
"15","7","PR",2022-07-05,"MI","LC",2022,13.6190476190476,4.87315288572183,59.1428571428571,30.0121404006541,15.7142857142857,4.81812055829716,18.0952380952381,6.01585207518238,60,29.2403830344269,61.9047619047619,27.3164872593545,"2022-07-05_MI_LC_PR_7",793.333333333333,330.252428706689,"2022-07-05_MI_LC_PR_7",-85.2134085,44.305256,"7_PR_2022","7_PR"
"16","7","PR",2023-06-19,"MI","LC",2023,12.4333333333333,4.51574512378506,58.6666666666667,19.8656406431033,13.6666666666667,5.07416263404925,15.3333333333333,5.71346463723366,60.6666666666667,20.074573613084,62.6666666666667,20.4995093857749,"2023-06-19_MI_LC_PR_7",1256,766.080935671943,"2023-06-19_MI_LC_PR_7",-85.2134085,44.305256,"7_PR_2023","7_PR"
"17","7","PR",2023-09-19,"MI","LC",2023,7.4,3.40992466293561,13.2333333333333,5.21062133652443,9.5,3.30881789496928,11.6666666666667,3.79049021789452,15,5.2522573143889,17.3333333333333,6.39683829949492,"2023-09-19_MI_LC_PR_7",620,296.91749695833,"2023-09-19_MI_LC_PR_7",-85.2134085,44.305256,"7_PR_2023","7_PR"
"18","7","PR",2023-05-24,"MI","LC",2023,25.7666666666667,7.87262096887309,43.4333333333333,9.56532290614648,27.8333333333333,7.73297165226361,29.6666666666667,8.08716877841527,45.5,9.8567323395633,48.3333333333333,10.1991660691327,"2023-05-24_MI_LC_PR_7",1926.66666666667,991.940858452089,"2023-05-23_MI_LC_PR_7",-85.2134085,44.305256,"7_PR_2023","7_PR"
"19","7","PR",2023-08-22,"MI","LC",2023,10.0333333333333,3.38845233040134,18.2666666666667,6.59641142426402,11.6666666666667,3.30447276125633,13,4.66091599699399,20.1666666666667,6.08606850808118,22.6666666666667,6.91491807283521,"2023-08-22_MI_LC_PR_7",733.333333333333,456.537694683217,"2023-08-22_MI_LC_PR_7",-85.2134085,44.305256,"7_PR_2023","7_PR"
"20","7","PR",2023-07-20,"MI","LC",2023,11,4.29915789669205,35.9333333333333,18.9844461442071,12.6666666666667,4.49776445108804,14.6666666666667,5.07416263404925,37.5,19.1072291789404,38.6666666666667,19.4286197236915,"2023-07-20_MI_LC_PR_7",786.666666666667,443.741666588418,"2023-07-20_MI_LC_PR_7",-85.2134085,44.305256,"7_PR_2023","7_PR"
