id,year,Lat,long,date_median,forb_kg_ha,grass_kg_ha,litter_kg_ha,pasture,season,low,high,shape,radius_m
los1,2015,43.14323135,-116.7361871,2015-07-07,90.25,95.88,,los,peak production,NA,NA,circular,60
los1,2016,43.14323135,-116.7361871,2016-06-20,209.49,260.76,,los,peak production,NA,NA,circular,60
los1,2017,43.14323135,-116.7361871,2017-08-14,214.05,194.05,433.36,los,peak production,NA,NA,circular,60
los1,2018,43.14323135,-116.7361871,2018-06-27,135.43,55.25,298.72,los,peak production,NA,NA,circular,60
los1,2019,43.14323135,-116.7361871,2019-06-24,22.77,32.87,159.44,los,peak production,NA,NA,circular,60
los1,2020,43.14323135,-116.7361871,2020-06-25,43.84,74.18,242.34,los,peak production,NA,NA,circular,60
los1,2021,43.14323135,-116.7361871,2021-06-22,60.57,31.44,134.91,los,peak production,NA,NA,circular,60
los1,2022,43.14323135,-116.7361871,2022-06-22,27.06,77.74,198.22,los,peak production,NA,NA,circular,60
los2,2016,43.127015833,-116.7368355,2016-06-22,203.33,323.16,,los,peak production,NA,NA,circular,60
los2,2017,43.127015833,-116.7368355,2017-07-10,155.67,215.99,387.91,los,peak production,NA,NA,circular,60
los2,2018,43.127015833,-116.7368355,2018-06-26,55.72,96.18,147.02,los,peak production,NA,NA,circular,60
los2,2019,43.127015833,-116.7368355,2019-06-24,43.96,80.50,142.76,los,peak production,NA,NA,circular,60
los2,2020,43.127015833,-116.7368355,2020-06-24,24.03,85.09,107.35,los,peak production,NA,NA,circular,60
los2,2021,43.127015833,-116.7368355,2021-06-23,23.84,32.73,183.67,los,peak production,NA,NA,circular,60
los2,2022,43.127015833,-116.7368355,2022-06-22,17.04,134.51,245.89,los,peak production,NA,NA,circular,60
los3,2016,43.128021228,-116.7388411,2016-06-23,269.66,291.80,,los,peak production,NA,NA,circular,60
los3,2017,43.128021228,-116.7388411,2017-07-06,306.01,324.42,383.56,los,peak production,NA,NA,circular,60
los3,2018,43.128021228,-116.7388411,2018-06-26,58.59,97.97,133.25,los,peak production,NA,NA,circular,60
