ID,Pasture,Treatment,Date,Date_mean,Year,Season,Low,High,Biomass_kg_ha,long,lat,PP_g
7,N,IMP,2020-12-09,2020-12-09,2020,12,19,23.33333333,692,-81.1804,27.1431,17.3
7,N,IMP,2020-10-15,2020-10-15,2020,10,45,50.66666667,2808,-81.1804,27.1431,70.2
7,N,IMP,2020-08-13,2020-08-13,2020,8,66,68.66666667,2372,-81.1804,27.1431,59.3
7,N,IMP,2020-06-11,2020-06-11,2020,6,49,49.33333333,3288,-81.1804,27.1431,82.2
7,N,IMP,2020-03-25,2020-03-25,2020,3,,27,2060,-81.1804,27.1431,51.5
7,N,IMP,2021-10-11,2021-10-11,2021,10,45,47.33333333,5068,-81.1804,27.1431,126.7
7,N,IMP,2021-03-11,2021-03-11,2021,3,25,25.33333333,1048,-81.1804,27.1431,26.2
7,N,IMP,2021-06-15,2021-06-15,2021,6,32,41,1068,-81.1804,27.1431,26.7
7,N,IMP,2021-08-11,2021-08-11,2021,8,66,77.33333333,4940,-81.1804,27.1431,123.5
7,N,IMP,2021-04-14,2021-04-14,2021,4,10,12.33333333,984,-81.1804,27.1431,24.6
7,N,IMP,2022-02-10,2022-02-10,2022,2,47,59.66666667,6952,-81.1804,27.1431,173.8
7,N,IMP,2022-12-28,2022-12-28,2022,12,35,36.33333333,4608,-81.1804,27.1431,115.2
7,N,IMP,2023-10-19,2023-10-19,2023,10,92,93.33333333,9028,-81.1804,27.1431,225.7
7,N,IMP,2023-02-17,2023-02-17,2023,2,32,37,4852,-81.1804,27.1431,121.3
7,N,IMP,2023-03-31,2023-03-31,2023,4,37,38.66666667,2712,-81.1804,27.1431,67.8
7,N,IMP,2023-08-15,2023-08-15,2023,8,75,81.33333333,7408,-81.1804,27.1431,185.2
7,N,IMP,6/15/2023,6/15/2023,2023,6,17,22,4456,-81.1804,27.1431,111.4
8,P,IMP,2020-12-09,2020-12-09,2020,12,20,23.33333333,1264,-81.1739,27.1432,31.6
8,P,IMP,2020-10-15,2020-10-15,2020,10,73,77.33333333,4256,-81.1739,27.1432,106.4
8,P,IMP,2020-08-13,2020-08-13,2020,8,80,82.66666667,3588,-81.1739,27.1432,89.7
8,P,IMP,2020-06-11,2020-06-11,2020,6,42,42.33333333,1912,-81.1739,27.1432,47.8
8,P,IMP,2020-03-25,2020-03-25,2020,3,,27,2312,-81.1739,27.1432,57.8
8,P,IMP,2021-10-08,2021-10-08,2021,10,65,65.66666667,6676,-81.1739,27.1432,166.9
8,P,IMP,2021-03-11,2021-03-11,2021,3,26,27,912,-81.1739,27.1432,22.8
8,P,IMP,2021-06-15,2021-06-15,2021,6,46,49,2984,-81.1739,27.1432,74.6
8,P,IMP,2021-08-11,2021-08-11,2021,8,45,47,3564,-81.1739,27.1432,89.1
8,P,IMP,2021-04-14,2021-04-14,2021,4,21,23.66666667,1884,-81.1739,27.1432,47.1
8,P,IMP,2022-02-08,2022-02-08,2022,2,21,33.33333333,6848,-81.1739,27.1432,171.2
8,P,IMP,2022-12-27,2022-12-27,2022,12,31,32.33333333,4380,-81.1739,27.1432,109.5
