year,site,zone,season,sampling_start,sampling_end,sampling_totalDays,quadrats,A_FORB,A_GRASS,P_FORB,P_GRASS,P_LF-SU,P_S-SHR,P_SHRUB,P_ST-SU,UNK_FORB,UNK_GRASS,YUEL
2005,CDRRC Pasture 3,E,SPRING,2005-06-14,2005-06-15,2,32,21.841512462006296,0.0064679284700753185,0.9363121878383036,4.308627582208492,0,70.70567340139,26.71194186149452,0.3787896875,4.015321585180349,0,0
2005,CDRRC Pasture 3,G,SPRING,2005-06-14,2005-06-15,2,32,22.445910005545805,0.11720670379106184,0.8680878118684819,5.500283998351219,0,12.60894696944724,0.07584217960979975,0,1.2739123553194664,0.012643429653286771,97.496425
2005,CDRRC Pasture 3,S,SPRING,2005-06-16,2005-06-16,1,32,17.229625363604914,0,2.338110204123513,0.3777638848708827,0,84.63132811295478,35.67232840410393,0,0.018548718758065443,0,2.5024
2005,JER Pasture 12A,E,SPRING,2005-06-01,2005-06-02,2,32,5.856352436334028,0,2.2056516365430783,42.89832748135001,0.009775000000000002,20.008037392203374,46.487994071576715,0,0.15041946066700754,0.0014789217514832459,0
2005,JER Pasture 12A,G,SPRING,2005-06-02,2005-06-02,1,32,7.235832705507321,0,4.110629627439255,37.50116238306871,0,37.33664998435099,48.1805109471364,0,0.23190796157344312,0,238.85425937500005
2005,JER Pasture 12A,S,SPRING,2005-06-03,2005-06-03,1,32,2.054112083347754,0,0.6154049297304066,10.416216390426124,0,19.87944855540986,75.9119054846023,0,0.16406900654372397,0,292.2450625
2005,JER Pasture 9,E,SPRING,2005-06-06,2005-06-15,10,32,21.987065849389055,4.89994581066312e-4,0.5991470465561914,5.129147540158502,0,27.740284748171423,76.13759713198954,0,0.020716702115271348,0,216.237309375
2005,JER Pasture 9,G,SPRING,2005-06-07,2005-06-08,2,32,33.379808302277794,0,2.6208748415430096,6.240040742654097,0,11.44056722938244,31.30324800346412,0,0.018489404747724293,0,20.61873125
2005,JER Pasture 9,S,SPRING,2005-06-06,2005-06-15,10,32,21.028263130634116,3.9199566485304964e-4,0.2528210400965083,3.102947251639165,0,61.04639553697128,69.00272369751492,0,3.11302892174958,0,23.1587875
2006,CDRRC Pasture 3,E,FALL,2006-10-25,2006-10-25,1,32,64.33796585463881,5.6795055045033465,8.762054301209261,13.509392245943497,0,9.35691203614753,20.7420206159726,0.00324676875,5.712479289022467,0.25289561950363504,0.01173
2006,CDRRC Pasture 3,E,SPRING,2006-06-15,2006-06-15,1,32,0,0,0,1.6955359315431657,0,0,13.845275315326614,0,0,0,0
