Date,Pasture,Sample#,DW kg/ha,%moist
5/25/2023,P11,1,1012,67
5/25/2023,P11,2,960,66
5/25/2023,P11,3,664,82
5/25/2023,P11,4,1076,72
5/25/2023,P11,5,1676,73
5/25/2023,P13,1,2004,70
5/25/2023,P13,2,2224,65
5/25/2023,P13,3,2292,69
5/25/2023,P13,4,1284,73
5/25/2023,P13,5,936,73
5/25/2023,P15,1,1508,69
5/25/2023,P15,2,2456,68
5/25/2023,P15,3,2624,70
5/25/2023,P15,4,1800,70
5/25/2023,P15,5,2276,70
5/25/2023,P18,1,1764,68
5/25/2023,P18,2,1696,70
5/25/2023,P18,3,2340,62
5/25/2023,P18,4,2116,75
5/25/2023,P18,5,1600,76
5/25/2023,P20,1,1960,69
5/25/2023,P20,2,1712,66
5/25/2023,P20,3,1960,66
5/25/2023,P20,4,1476,65
5/25/2023,P20,5,2156,68
6/26/2023,P11,1,3696,67
6/26/2023,P11,2,5412,69
6/26/2023,P11,3,4416,65
6/26/2023,P11,4,4008,68
6/26/2023,P11,5,3564,64
6/26/2023,P13,1,2340,43
6/26/2023,P13,2,3360,48
6/26/2023,P13,3,2308,44
6/26/2023,P13,4,3416,52
6/26/2023,P13,5,2976,47
6/26/2023,P15,1,2632,44
6/26/2023,P15,2,3796,41
6/26/2023,P15,3,2700,45
6/26/2023,P15,4,2764,52
6/26/2023,P15,5,1796,52
6/26/2023,P18,1,4016,57
6/26/2023,P18,2,3292,55
6/26/2023,P18,3,3160,61
6/26/2023,P18,4,3832,59
6/26/2023,P18,5,3072,57
6/26/2023,P20,1,3336,43
6/26/2023,P20,2,2952,48
6/26/2023,P20,3,2836,44
6/26/2023,P20,4,3120,44
6/26/2023,P20,5,4164,49
7/25/2023,P11,1,6608,60
7/25/2023,P11,2,3468,65
7/25/2023,P11,3,5640,63
7/25/2023,P11,4,5696,61
7/25/2023,P11,5,4616,65
7/25/2023,P13,1,3812,54
7/25/2023,P13,2,3724,61
7/25/2023,P13,3,4800,57
7/25/2023,P13,4,3128,51
7/25/2023,P13,5,3968,60
7/25/2023,P15,1,6308,62
7/25/2023,P15,2,3848,66
7/25/2023,P15,3,6040,58
7/25/2023,P15,4,3136,68
7/25/2023,P15,5,2984,64
7/25/2023,P18,1,5860,59
7/25/2023,P18,2,6368,60
7/25/2023,P18,3,3420,61
7/25/2023,P18,4,5088,58
7/25/2023,P18,5,3756,57
7/25/2023,P20,1,4360,59
7/25/2023,P20,2,4980,61
7/25/2023,P20,3,3860,58
7/25/2023,P20,4,4920,58
7/25/2023,P20,5,3228,61
8/24/2023,P11,1,4156,55
8/24/2023,P11,2,5436,52
8/24/2023,P11,3,6164,56
8/24/2023,P11,4,5116,51
8/24/2023,P11,5,4740,57
8/24/2023,P13,1,5368,55
8/24/2023,P13,2,4352,48
8/24/2023,P13,3,4052,58
8/24/2023,P13,4,3660,62
8/24/2023,P13,5,4144,55
8/24/2023,P15,1,5632,51
8/24/2023,P15,2,4616,53
8/24/2023,P15,3,6168,48
8/24/2023,P15,4,4160,54
8/24/2023,P15,5,3920,49
8/24/2023,P18,1,3532,51
8/24/2023,P18,2,3188,54
8/24/2023,P18,3,4908,53
8/24/2023,P18,4,5568,52
8/24/2023,P18,5,3040,56
8/24/2023,P20,1,600,40
8/24/2023,P20,2,804,41
8/24/2023,P20,3,476,28
8/24/2023,P20,4,620,50
8/24/2023,P20,5,316,56
10/10/2023,P11,1,8412,49
10/10/2023,P11,2,4696,54
10/10/2023,P11,3,12180,52
10/10/2023,P11,4,7088,46
10/10/2023,P11,5,6056,53
10/10/2023,P13,1,4780,52
10/10/2023,P13,2,7412,49
10/10/2023,P13,3,4932,50
10/10/2023,P13,4,3572,54
10/10/2023,P13,5,4468,54
10/10/2023,P15,1,2960,48
10/10/2023,P15,2,5812,51
10/10/2023,P15,3,3872,45
10/10/2023,P15,4,5672,43
10/10/2023,P15,5,5116,39
10/10/2023,P18,1,4292,47
10/10/2023,P18,2,6472,48
10/10/2023,P18,3,4196,45
10/10/2023,P18,4,5436,48
10/10/2023,P18,5,4764,49
10/10/2023,P20,1,956,55
10/10/2023,P20,2,608,56
10/10/2023,P20,3,1872,59
10/10/2023,P20,4,1280,56
10/10/2023,P20,5,1192,60
7/6/2022,P11,1,3188,58
7/6/2022,P11,2,2884,58
7/6/2022,P11,3,3124,55
7/6/2022,P11,4,3000,57
7/6/2022,P11,5,2744,59
7/6/2022,P13,1,2780,52
7/6/2022,P13,2,3104,54
7/6/2022,P13,3,2120,71
7/6/2022,P13,4,3632,56
7/6/2022,P13,5,3032,58
7/6/2022,P18,1,1164,55
7/6/2022,P18,2,1108,60
7/6/2022,P18,3,1016,53
7/6/2022,P18,4,1512,59
7/6/2022,P18,5,1752,64
7/6/2022,P20,1,3072,51
7/6/2022,P20,2,4720,60
7/6/2022,P20,3,2860,54
7/6/2022,P20,4,3516,53
7/6/2022,P20,5,3460,54
8/2/2022,P11,1,2536,47
8/2/2022,P11,2,840,43
8/2/2022,P11,3,1252,47
8/2/2022,P11,4,1224,47
8/2/2022,P11,5,1372,44
8/2/2022,P13,1,4596,39
8/2/2022,P13,2,3024,39
8/2/2022,P13,3,2708,40
8/2/2022,P13,4,2396,42
8/2/2022,P13,5,2216,38
8/2/2022,P18,1,1716,47
8/2/2022,P18,2,1624,41
8/2/2022,P18,3,1088,43
8/2/2022,P18,4,1160,42
8/2/2022,P18,5,896,46
8/2/2022,P20,1,100,36
8/2/2022,P20,2,480,44
8/2/2022,P20,3,1440,37
8/2/2022,P20,4,1100,31
8/2/2022,P20,5,1508,32
9/7/2022,P11,1,1192,51
9/7/2022,P11,2,1748,41
9/7/2022,P11,3,1736,50
9/7/2022,P11,4,2776,52
9/7/2022,P11,5,2896,51
9/7/2022,P13,1,3700,50
9/7/2022,P13,2,2272,59
9/7/2022,P13,3,5588,44
9/7/2022,P13,4,3648,63
9/7/2022,P13,5,5836,68
9/7/2022,P18,1,1212,40
9/7/2022,P18,2,1820,43
9/7/2022,P18,3,1564,45
9/7/2022,P18,4,1032,39
9/7/2022,P18,5,1752,48
9/7/2022,P20,1,496,55
9/7/2022,P20,2,320,58
9/7/2022,P20,3,616,44
9/7/2022,P20,4,432,49
9/7/2022,P20,5,660,58
5/26/2021,P11,1,688,83
5/26/2021,P11,2,384,82
5/26/2021,P11,3,576,80
5/26/2021,P11,4,684,83
5/26/2021,P11,5,932,58
5/26/2021,P13,1,536,81
5/26/2021,P13,2,528,77
5/26/2021,P13,3,1100,68
5/26/2021,P13,4,1216,77
5/26/2021,P13,5,1320,76
5/26/2021,P14,1,1536,72
5/26/2021,P14,2,840,79
5/26/2021,P14,3,2052,71
5/26/2021,P14,4,1532,81
5/26/2021,P14,5,1332,77
5/26/2021,P15,1,1200,73
5/26/2021,P15,2,1228,75
5/26/2021,P15,3,1372,77
5/26/2021,P15,4,1200,73
5/26/2021,P15,5,820,82
5/26/2021,P16,1,788,72
5/26/2021,P16,2,576,80
5/26/2021,P16,3,868,78
5/26/2021,P16,4,708,78
5/26/2021,P16,5,1348,75
5/26/2021,P18,1,824,53
5/26/2021,P18,2,916,55
5/26/2021,P18,3,1352,47
5/26/2021,P18,4,1636,43
5/26/2021,P18,5,1260,52
5/26/2021,P20,1,676,78
5/26/2021,P20,2,784,74
5/26/2021,P20,3,1220,74
5/26/2021,P20,4,616,78
5/26/2021,P20,5,1124,74
7/20/2021,P11,1,1248,69
7/20/2021,P11,2,1100,68
7/20/2021,P11,3,1052,76
7/20/2021,P11,4,2032,70
7/20/2021,P11,5,1764,74
7/20/2021,P13,1,3544,62
7/20/2021,P13,2,3776,64
7/20/2021,P13,3,5712,72
7/20/2021,P13,4,1688,71
7/20/2021,P13,5,1768,72
7/20/2021,P14,1,2880,59
7/20/2021,P14,2,3296,58
7/20/2021,P14,3,3732,60
7/20/2021,P14,4,4352,58
7/20/2021,P14,5,2776,57
7/20/2021,P15,1,2424,68
7/20/2021,P15,2,4588,61
7/20/2021,P15,3,2740,61
7/20/2021,P15,4,4212,62
7/20/2021,P15,5,3040,66
7/20/2021,P16,1,5288,65
7/20/2021,P16,2,4216,69
7/20/2021,P16,3,3284,67
7/20/2021,P16,4,2792,70
7/20/2021,P16,5,4560,69
7/20/2021,P18,1,964,64
7/20/2021,P18,2,724,66
7/20/2021,P18,3,548,73
7/20/2021,P18,4,300,74
7/20/2021,P18,5,400,73
8/30/2021,P11,1,3944,64
8/30/2021,P11,2,2776,68
8/30/2021,P11,3,2896,70
8/30/2021,P13,1,3640,66
8/30/2021,P13,2,4032,64
8/30/2021,P13,3,3028,53
8/30/2021,P14,1,2640,70
8/30/2021,P14,2,5304,61
8/30/2021,P14,3,4208,63
8/30/2021,P15,1,2120,69
8/30/2021,P15,2,2704,66
8/30/2021,P15,3,4008,67
8/30/2021,P16,1,5444,59
8/30/2021,P16,2,4096,68
8/30/2021,P16,3,7304,57
8/30/2021,P18,1,3072,68
8/30/2021,P18,2,2732,69
8/30/2021,P18,3,3808,67
8/30/2021,P20,1,1752,76
8/30/2021,P20,2,1096,80
8/30/2021,P20,3,1448,76
5/11/2020,P11,1,448,76
5/11/2020,P11,2,348,78
5/11/2020,P11,3,344,81
5/11/2020,P11,4,260,79
5/11/2020,P11,5,2116,72
5/11/2020,P13,1,2292,45
5/11/2020,P13,2,688,69
5/11/2020,P13,3,696,63
5/11/2020,P13,4,1172,63
5/11/2020,P13,5,1104,58
5/11/2020,P14,1,504,74
5/11/2020,P14,2,1732,69
5/11/2020,P14,3,984,75
5/11/2020,P14,4,2092,56
5/11/2020,P14,5,1436,61
5/11/2020,P15,1,1112,70
5/11/2020,P15,2,660,76
5/11/2020,P15,3,1364,73
5/11/2020,P15,4,1772,72
5/11/2020,P15,5,1644,72
5/11/2020,P16,1,2016,62
5/11/2020,P16,2,2372,73
5/11/2020,P16,3,2928,70
5/11/2020,P16,4,732,73
5/11/2020,P16,5,824,73
5/11/2020,P18,1,1164,75
5/11/2020,P18,2,980,77
5/11/2020,P18,3,740,77
5/11/2020,P18,4,988,75
5/11/2020,P18,5,620,77
5/11/2020,P20,1,2212,65
5/11/2020,P20,2,1344,68
5/11/2020,P20,3,720,69
5/11/2020,P20,4,460,73
5/11/2020,P20,5,524,75
6/18/2020,P11,1,1980,52
6/18/2020,P11,2,1052,54
6/18/2020,P11,3,1932,52
6/18/2020,P11,4,1900,52
6/18/2020,P11,5,3908,45
6/18/2020,P13,1,2964,58
6/18/2020,P13,2,3504,60
6/18/2020,P13,3,2976,56
6/18/2020,P13,4,1364,70
6/18/2020,P13,5,3608,56
6/18/2020,P14,1,2876,50
6/18/2020,P14,2,2768,62
6/18/2020,P14,3,4516,54
6/18/2020,P14,4,1592,58
6/18/2020,P14,5,1624,57
6/18/2020,P15,1,2920,42
6/18/2020,P15,2,5116,51
6/18/2020,P15,3,2964,52
6/18/2020,P15,4,2344,49
6/18/2020,P15,5,2956,49
6/18/2020,P16,1,2160,36
6/18/2020,P16,2,1660,44
6/18/2020,P16,3,1604,50
6/18/2020,P16,4,1572,42
6/18/2020,P16,5,1796,44
6/18/2020,P18,1,1616,55
6/18/2020,P18,2,1596,61
6/18/2020,P18,3,1100,56
6/18/2020,P18,4,1488,56
6/18/2020,P18,5,1452,50
6/18/2020,P20,1,3816,51
6/18/2020,P20,2,3616,52
6/18/2020,P20,3,1932,53
6/18/2020,P20,4,1728,54
6/18/2020,P20,5,1788,54
8/12/2020,P11,1,4080,66
8/12/2020,P11,2,5672,68
8/12/2020,P11,3,4348,67
8/12/2020,P11,4,2900,68
8/12/2020,P11,5,3300,70
8/12/2020,P13,1,7384,62
8/12/2020,P13,2,3972,60
8/12/2020,P13,3,3620,63
8/12/2020,P13,4,5108,50
8/12/2020,P13,5,3552,62
8/12/2020,P14,1,9556,62
8/12/2020,P14,2,3192,71
8/12/2020,P14,3,2936,62
8/12/2020,P14,4,2532,69
8/12/2020,P14,5,2452,68
8/12/2020,P15,1,1620,65
8/12/2020,P15,2,3304,60
8/12/2020,P15,3,2372,67
8/12/2020,P15,4,2428,52
8/12/2020,P15,5,1796,72
8/12/2020,P16,1,2256,58
8/12/2020,P16,2,2800,56
8/12/2020,P16,3,3652,71
