ID,Pasture,Treatment,Date,Date_mean,Year,Season,Low,High,Biomass_kg_ha,long,lat,PP_g,ID_yr,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
7,N,IMP,2020-12-09,2020-12-09,2020,12,19.0,23.33333333,692.0,-81.1804,27.1431,17.3,7_2020,0.7399001101264269,7.2405605065251475,0.3196481025482491,0.2761406436219831,0.4452981919121951,0.4299363866444146,41.61929914476082,0.3538885750377578,0.5977003694881674,0.6654999039388573,-0.037884436299969,0.1466317397193287,0.4425542131208569,0.2962835917227537,0.1643822742099083,-0.1359614308746949,146.6864956363386,174.16763095060654,104.16829990594586,201.30855263646012,101.0190644359434,92.14467951694373,266.2897522907813,516.8228083238023,412.21760033919554,2756.4548405625223,2049.5067912418654,1055.5030358455072,1643.182166553152,1693.33443215077,2101.5807635074443,1916.4523625269292,1990.7272577129318,1978.639512693458,2315.115493769803,2240.2325238095236,2203.9999534593953,kfold2
7,N,IMP,2020-10-15,2020-10-15,2020,10,45.0,50.66666667,2808.0,-81.1804,27.1431,70.2,7_2020,0.7496210591155474,7.309873234664311,0.3456200905268073,0.282029206379041,0.5034665377888388,0.4763215444330895,45.584726527715794,0.4258862142915843,0.5647481121122344,0.6504411017567009,-0.0438019230470127,0.1940243554230368,0.4961084546232416,0.3353105870640444,0.1992559691559881,-0.1319441441923965,138.1232846718054,170.28850948510595,95.76333181654287,206.01264973644197,93.16690113974173,85.08107461705849,271.8831439572332,609.5888883459365,461.8347205606584,3259.31086026261,2165.0087231865086,1048.4433127129982,1026.8166284801937,1930.4347285322233,1998.2260482753627,2122.858773724985,2182.6537314725088,2185.3873539941037,2517.5193911726137,2702.7045714285714,2850.929383785955,kfold2
7,N,IMP,2020-08-13,2020-08-13,2020,8,66.0,68.66666667,2372.0,-81.1804,27.1431,59.3,7_2020,0.8299061332468277,5.440174900334932,0.4153025568698494,0.3123358444090728,0.6717135250913153,0.6427866580456599,60.61402902602552,0.692932120969947,0.4815014678529063,0.6744650794376578,-0.0733445819775364,0.3562065545421606,0.7200039842935604,0.4394434175232694,0.3233519597421592,-0.1075654750600723,123.03339365052726,172.05974428438032,72.25215128685525,227.63025002361752,70.38810215386118,64.44783739081966,295.49508484619184,811.1877756984187,453.1015826377578,4877.203491335563,2321.489352513687,960.675379561852,283.88329106692345,4098.635632880119,2972.244988530095,2832.3734058802274,1619.5362624403974,3299.0239106967933,2207.59949532863,4707.482714285714,4536.17135125419,kfold2
7,N,IMP,2020-06-11,2020-06-11,2020,6,49.0,49.33333333,3288.0,-81.1804,27.1431,82.2,7_2020,0.750331778257048,7.125627617054336,0.3539907963878884,0.2917167359025677,0.5233212292571938,0.5290986553221835,50.23873314654198,0.521900050765616,0.5303530274135403,0.6487674966436359,-0.0454972355491119,0.2313772824634473,0.57724680425106,0.3864954911037676,0.243910510280977,-0.1337529219295479,134.84267909919143,171.61037405928448,88.74827595012982,211.3976205798513,86.34276671563288,79.1540832181551,324.6191364259299,705.7020772970532,502.4740123384513,3906.61618339452,2319.537528949069,1129.9425895766394,546.5687190643905,2111.393132258083,1965.0367404425895,1925.1532948965466,1945.5431397908394,2330.905663185155,2520.436747142159,1728.2777619047627,1323.2083149499354,kfold2
7,N,IMP,2020-03-25,2020-03-25,2020,3,,27,2060.0,-81.1804,27.1431,51.5,7_2020,0.7720061495145641,6.557032216053383,0.3412483449465865,0.3015901940996794,0.5013356143476049,0.4986532338931994,47.48315247262603,0.4479706878948459,0.5779425851187232,0.6802305882386354,-0.0522128126315738,0.1935962551020659,0.5428251739423176,0.3444112177899937,0.206464153454702,-0.1417991528402505,143.84682122687423,178.2099996136472,94.31162798500011,210.91921478439943,91.2548116657376,83.31124891277577,331.02462600369955,604.8403344083084,430.4256863070032,3352.3840390225746,2261.7927224014543,1111.7514692285845,860.2699195697074,1708.7876242771927,1962.4342585671714,1758.621302510944,1579.3001741977396,1700.3023727059553,1721.9154902948521,1848.5865555555565,1660.1268035592725,kfold2
8,P,IMP,2020-12-09,2020-12-09,2020,12,20.0,23.33333333,1264.0,-81.1739,27.1432,31.6,8_2020,0.6135309922500921,10.84495275477882,0.2927787998963043,0.2874231122439972,0.2981510460455274,0.3626195058574646,34.98656183750549,0.2834569958715202,0.6226553836664461,0.6099128971236152,0.0097268922532975,0.0059950221225945,0.3635874055990213,0.3314327464168853,0.1340935533407265,-0.188425685300016,149.4668426578777,166.0463078995029,111.47127379266398,183.44329563167264,108.40939677150202,100.1207715470914,356.5828263687871,603.4108492746049,628.6996420941505,2624.547194534215,2593.076286886828,1417.5254143073475,1802.0788429618306,1935.7304251360301,2051.945993037367,2152.101093087932,2175.7930064370016,2158.924050194561,2622.624572762733,2530.24,2562.0488623677584,kfold6
8,P,IMP,2020-10-15,2020-10-15,2020,10,73.0,77.33333333,4256.0,-81.1739,27.1432,106.4,8_2020,0.7093588206289689,8.498592491516776,0.3511065417455143,0.2888916016527261,0.4779543876037618,0.480822931578129,45.75898234360771,0.451844578457038,0.5508261805363366,0.6254979196628729,-0.0296230912971047,0.1713720693015714,0.5045442374145792,0.370321096739092,0.2125078883695331,-0.1451518230566895,135.4268510192682,166.19937431629052,94.06948874813236,203.41954204530697,91.728357633881,84.33594543226043,305.4956545030318,692.8979531797389,553.4368839474731,3540.163631564171,2391.3157864422874,1161.6053364553622,766.7816479299788,2008.6469223932709,2003.4802627806503,2090.7325219498407,2192.768982712438,2666.1735833449634,2726.458822823734,2956.38,2420.2468671224146,kfold6
8,P,IMP,2020-08-13,2020-08-13,2020,8,80.0,82.66666667,3588.0,-81.1739,27.1432,89.7,8_2020,0.8294178537457843,5.540330878497239,0.422194489238641,0.2938291162528984,0.6734148592373104,0.6042034388047891,57.01006143722816,0.6085639767613906,0.5062446909150249,0.6740209027329859,-0.0647388242688563,0.3502869938510403,0.6543118118647478,0.3883983093091925,0.2881826740642159,-0.0971985530304186,127.0718194530297,170.62289680794152,77.58736759342736,220.30546688179388,75.465976595748,69.02484133630341,236.50759089937392,684.6727437109305,403.6949735043726,4325.441116623592,2081.7903859079306,844.0707792493288,419.06933459193453,3324.1270853038645,2945.682800757787,3207.723921605781,2522.6197080950287,3238.867766981185,3002.3707908894216,3908.66,3486.2869127056656,kfold6
8,P,IMP,2020-06-11,2020-06-11,2020,6,42.0,42.33333333,1912.0,-81.1739,27.1432,47.8,8_2020,0.7468701297884424,7.331107462948138,0.3554603037203577,0.2896001122150983,0.5418273576962552,0.5466020873387064,51.75156487337748,0.5518417265072832,0.5203665594604039,0.6265261185347653,-0.0424427557503227,0.2505414525202838,0.602385745952847,0.4099781211685914,0.2600177033888554,-0.133488992053588,132.82320515012535,169.84832946118746,84.97124801935837,211.6177623484113,82.70928157968994,75.9836040674278,355.9759118664808,753.8463264479656,553.9430530838217,4169.615385462132,2393.235974526124,1155.8175275521248,443.43928796428,2383.3845756349406,2183.503395452673,2312.1764264107633,2346.919884738247,2405.4059619254253,3226.2007626318596,2388.32,1674.653625623671,kfold6
8,P,IMP,2020-03-25,2020-03-25,2020,3,,27,2312.0,-81.1739,27.1432,57.8,8_2020,0.8157870104059038,5.7219039689575775,0.3607065292283344,0.3028336090985334,0.5727469591826256,0.5462626493066235,51.83673771968396,0.5154289361517892,0.5379148026603245,0.6963893363104149,-0.0757064459623526,0.2634809321597788,0.60750100325518,0.3585677761886684,0.2350364622874605,-0.1255274460888348,137.65123462173784,180.77214475078756,87.69539397238151,220.671680731066,84.92778331493992,76.92120467000274,328.24695344394047,651.2097876893012,390.36984148907896,3687.160845270707,2175.6849357431915,1023.5369689197692,627.6095035005011,1943.3066519741956,1976.6073126858166,1579.1844139763054,1203.0456085296403,1604.1320392704392,925.6212195040575,1563.72,1138.2526001418416,kfold6
9,N,IMP,2020-12-09,2020-12-09,2020,12,14.0,19,688.0,-81.1795,27.1451,17.2,9_2020,0.7411964195270333,7.291441347710073,0.3249938321590869,0.2623137151989678,0.459409842460319,0.4160343424569481,40.56250264034336,0.3341394857285499,0.5999083926900433,0.6605643878483598,-0.0332397224186468,0.1580123912412941,0.423026867696551,0.2780807608324037,0.1572581370033635,-0.1247252824642207,148.40711318411948,173.55453853033129,106.11170114645098,198.07826379446192,102.8383842094546,93.78268039257144,241.8046743658709,474.0102921601637,388.2637292958134,2615.784714863253,1904.9757106144896,968.3027920491796,2180.5617426418958,1989.6338026241174,2437.1699270946815,2270.5458916616544,2320.5326630358845,2416.6884296172507,2697.01082885707,2749.1,2297.1797702755243,kfold9
9,N,IMP,2020-10-15,2020-10-15,2020,10,36.0,43.33333333,3532.0,-81.1795,27.1451,88.3,9_2020,0.7488081821339063,7.286644330705894,0.3446960685425574,0.2461324633197446,0.5195802071005305,0.4389711199968093,42.601720016388334,0.3755003028321261,0.5458300702304744,0.6374597542029237,-0.0447508388549449,0.2174316951295351,0.4533357636709996,0.2884776316475306,0.1758750120676091,-0.1046313191783303,142.02297157827044,172.24015373411106,101.74097689818343,203.2620828280984,98.88474776405975,89.92248449517336,245.75541871160755,531.1723866574918,395.6487158485932,2856.472397695385,1782.4053830612877,861.5996970920999,1708.5439389347218,2108.078494520857,2140.125681984959,2285.2861993131582,2312.5927168312314,2391.180511074215,2693.288766912716,2880.32,2626.1119398708474,kfold9
9,N,IMP,2020-08-13,2020-08-13,2020,8,67.0,72.66666667,2632.0,-81.1795,27.1451,65.8,9_2020,0.8277933153571181,5.522872470805631,0.4159956817070646,0.2972207108760633,0.6597591020913105,0.597291134737029,56.36346078839911,0.5945157900493572,0.5195384439767715,0.6819235922197866,-0.0628005921619899,0.3368278843887251,0.6511699944347302,0.383171431528669,0.2814624766966119,-0.1015386082194165,129.62338468119847,172.61040135648304,78.98113219949393,219.25396935791343,76.71077531027053,70.18272745154218,250.92358789054768,663.4639774197426,396.23189189243647,4235.312341247279,2096.87711625356,864.7267961809218,449.8388681250631,3111.0428239375915,2923.7157404366385,2983.064086241974,2438.1220014610976,2836.3942298684647,2804.840388825847,4147.54,3461.7113851902227,kfold9
