Unnamed: 0,Block_name,Treatment,Pasture,Date,Site,Ranch,Year,Low.reading_mean,Low.reading_sd,High.reading_mean,High.reading_sd,Low.rounded_5_mean,Low.rounded_5_sd,Low.rounded_10_mean,Low.rounded_10_sd,High.rounded_5_mean,High.rounded_5_sd,High.rounded_10_mean,High.rounded_10_sd,Sample_ID_vor,Date.y,Site.y,Ranch.y,Treatment.y,Block_name.y,Year.y,mean_biomass,sd_biomass,Sample_ID_bio,X_coord,Y_coord,ID,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR,kfold
1,1,AD,1_AD,2023-09-15,OK,CR,2023,33.10344828,15.10048445,65.13793103,18.04701031,34.65517241,15.57992266,36.89655172,15.83473764,66.89655172,17.34182563,68.27586207,16.49003282,2023-09-15_OK_CR_AD_1,9/15/2023,OK,CR,AD,1,2023,1299.6,734.2762423,2023-09-15_OK_CR_AD_1,-97.23688295,33.93523513,1_AD_2023,0.640432067,10.79533287,0.327165322,0.284215031,0.396524765,0.411429572,39.21968965,0.345438061,0.591107149,0.591682331,0.001734968,0.081596202,0.413731527,0.361675831,0.16762825,-0.1748736,140.6629699,161.1823467,101.4855101,185.1980156,98.93598247,91.33357774,346.5627992,669.4077475,675.987338,3081.990652,2619.198003,1331.272641,1357.236973473332,2404.004417705188,2581.8741552689703,2608.839783143197,2589.8131141719823,2544.481538930583,2580.0040946648887,2483.7758650798933,2499.0724123316663,
2,1,AD,1_AD,2023-08-17,OK,CR,2023,32.77777778,16.22043662,61.40740741,17.75530096,34.44444444,16.31029249,36.2962963,17.13030337,62.59259259,17.99414276,64.81481481,17.83910363,2023-08-17_OK_CR_AD_1,8/17/2023,OK,CR,AD,1,2023,2793.76,1377.720337,2023-08-17_OK_CR_AD_1,-97.23688295,33.93523513,1_AD_2023,0.671025771,10.06739678,0.345825754,0.288080613,0.458234471,0.457755675,43.34235609,0.411754232,0.562762945,0.591580109,-0.013826013,0.137604557,0.471993669,0.38762752,0.197584372,-0.165889112,135.6758707,161.3582079,94.22735789,193.356118,91.90020599,84.70723266,362.8946228,734.9570998,680.7290088,3481.386296,2639.617714,1290.601455,874.9341141255605,2517.8393388264794,2562.637643879405,2718.958012837348,2873.840378125104,2893.5901024866225,2795.525704729663,2325.668019866928,2526.703597328372,
4,1,AD,1_AD,2023-06-22,OK,CR,2023,13.92592593,15.73317398,56.37037037,28.27903293,15.74074074,16.33211229,16.66666667,16.1721508,57.96296296,27.70931735,59.25925926,27.30538492,2023-06-22_OK_CR_AD_1,6/22/2023,OK,CR,AD,1,2023,2133.92,1863.550963,2023-06-22_OK_CR_AD_1,-97.23688295,33.93523513,1_AD_2023,0.642914421,10.21021089,0.313098155,0.284011505,0.39997061,0.437753822,41.51404656,0.395194254,0.55963999,0.586170149,-0.009271391,0.106518528,0.453012377,0.391878964,0.186793433,-0.178291761,136.075513,161.6000692,97.79431489,192.8257189,95.66978157,88.31664328,383.3855304,763.2248551,713.8827317,3404.833306,2707.3199,1425.465589,824.4481224962888,1924.083040635225,2250.443138751209,2296.634027992842,2444.92094768111,2380.744286089587,2408.6102738663017,2096.567914545996,2534.307197550399,
6,1,AD,1_AD,2023-07-20,OK,CR,2023,26.8,18.67212564,54.4,23.85241982,28.5,18.85287868,30.33333333,18.84296875,55.83333333,23.5651457,58.0,23.69344446,2023-07-20_OK_CR_AD_1,7/20/2023,OK,CR,AD,1,2023,1974.933333,724.333345,2023-07-20_OK_CR_AD_1,-97.23688295,33.93523513,1_AD_2023,0.684602226,9.182331203,0.326847608,0.299395218,0.424835534,0.455849745,43.25568299,0.407508546,0.574768105,0.621485419,-0.024929154,0.117724314,0.477576224,0.378440717,0.190184906,-0.174743468,138.6012553,166.9353578,96.9490229,199.4162924,94.47110952,86.84610759,369.2863892,712.6821159,623.9794019,3357.805256,2651.951935,1353.698379,861.0774314815704,1896.633241567279,2117.9886543413745,2184.1586877363334,2305.286897444703,2313.645630224088,2255.9181039000982,2191.7717849606584,2370.558706674205,
9,1,AD,1_AD,2023-05-25,OK,CR,2023,45.26086957,16.17016723,68.82608696,15.71233497,47.39130435,16.29762707,50.0,17.05605731,70.43478261,14.76428765,72.17391304,14.12815427,2023-05-25_OK_CR_AD_1,5/25/2023,OK,CR,AD,1,2023,1705.0,805.4298827,2023-05-25_OK_CR_AD_1,-97.23688295,33.93523513,1_AD_2023,0.794455829,6.323264018,0.380273012,0.293642312,0.598513444,0.555741825,52.55924006,0.540980766,0.516249091,0.660491057,-0.064109721,0.282168688,0.605174293,0.3772329,0.251244129,-0.118323855,131.3020162,173.0901893,84.30851046,218.3660602,82.0115146,74.83993513,300.7865562,700.2085368,448.3216129,3932.254984,2200.961486,985.6308655,548.0677713657458,2761.3087748117296,2768.3436651131897,2634.4126047200625,2729.5545727397944,2611.5306063775824,2675.439682303262,2575.438370162991,2581.9976107807024,
10,1,AD,1_AD,2023-10-12,OK,CR,2023,28.11538462,11.11513175,68.26923077,15.77227363,30.38461538,11.03839453,32.30769231,12.1021295,70.0,15.8113883,71.92307692,15.23659562,2023-10-12_OK_CR_AD_1,10/12/2023,OK,CR,AD,1,2023,1023.92,156.2355657,2023-10-12_OK_CR_AD_1,-97.23688295,33.93523513,1_AD_2023,0.670024813,9.53853328,0.317848152,0.275058522,0.405096646,0.407401649,39.12641023,0.337232172,0.583426987,0.610699861,-0.017342081,0.100451902,0.413464965,0.327514335,0.158500553,-0.15611215,142.7090494,166.8220972,104.2787967,193.4914366,101.5614334,93.12242749,320.6399431,614.7064117,563.6049416,2850.135099,2330.650218,1208.634917,1590.8685141126043,2196.518846488607,2364.582528978004,2344.852677417587,2226.5717760144084,2264.9742427054184,2401.0249121126067,2899.4642218240606,2451.8783737569456,
11,1,AD,1_AD,2023-04-20,OK,CR,2023,20.0,13.73348811,35.45833333,19.64462349,22.5,13.51327849,24.58333333,13.18073913,37.08333333,19.61125823,39.16666667,19.98187585,2023-04-20_OK_CR_AD_1,4/20/2023,OK,CR,AD,1,2023,1090.666667,1048.359623,2023-04-20_OK_CR_AD_1,-97.23688295,33.93523513,1_AD_2023,0.628292157,9.881326981,0.277711182,0.275003774,0.341940065,0.40374149,38.46441707,0.350847474,0.547810078,0.585116644,-0.024147854,0.072454606,0.424393653,0.371892103,0.157301545,-0.184168474,141.1284116,167.8987451,104.539596,198.0606279,102.0777372,93.55399587,447.6451152,770.9569691,696.0656014,3051.37408,2642.261469,1498.741829,976.6515423292324,1394.354764565989,1214.0281818783403,1175.1896957690235,1273.707609387948,1208.0495058979982,1350.830566880871,1129.6273650851988,1106.4540369822273,
17,1,PR,1_PR,2023-04-19,OK,CR,2023,15.1,5.479428614,24.23333333,13.28905003,16.83333333,5.49032587,19.33333333,5.83292281,25.83333333,13.52413764,28.0,13.49329335,2023-04-19_OK_CR_PR_1,4/19/2023,OK,CR,PR,1,2023,689.7333333,394.0311189,2023-04-19_OK_CR_PR_1,-97.22590555,33.93146845,1_PR_2023,0.663866073,9.144579178,0.295459164,0.278719717,0.391466837,0.431420095,41.04750857,0.381656167,0.546743655,0.601447795,-0.031318544,0.112188043,0.45635156,0.368178065,0.173109333,-0.170897754,140.0966116,169.2205385,100.9175029,201.4018083,98.39567001,90.11443905,413.9598123,740.9186972,638.0089657,3176.91347,2538.22573,1389.01767,931.4970816483269,1569.4957234746585,1445.1968265056282,1463.7101388207643,1397.454205493358,1411.5521410799806,1430.7376633064634,1579.3747256706706,1625.4880654024587,kfold10
19,1,PR,1_PR,2023-10-12,OK,CR,2023,18.1,8.310151665,65.33333333,14.66248634,19.83333333,8.558453507,22.0,8.469010446,66.83333333,14.65013436,69.0,14.70397554,2023-10-12_OK_CR_PR_1,10/12/2023,OK,CR,PR,1,2023,1786.266667,1163.297126,2023-10-12_OK_CR_PR_1,-97.22590555,33.93146845,1_PR_2023,0.51530393,12.53637575,0.243397324,0.274385747,0.135857553,0.276958261,27.22593478,0.193460293,0.636342722,0.592619852,0.041530231,-0.111292864,0.268795776,0.309917988,0.088667855,-0.210326343,154.8618956,165.1858681,126.1127255,175.6566302,123.2778151,114.9096604,370.8203467,586.3892718,673.7060281,2111.773441,2640.707578,1607.117801,2113.5414658804925,1601.080134126364,1832.2757323553765,1677.5972366958965,1684.9329359699955,1648.4072645680783,1788.075943015541,1566.5603182521206,1729.2099948762018,kfold10
20,1,PR,1_PR,2023-09-15,OK,CR,2023,15.25925926,8.150472344,35.92592593,7.48293405,16.48148148,8.527649015,18.14814815,9.622504486,37.96296296,7.876359377,40.37037037,8.540168203,2023-09-15_OK_CR_PR_1,9/15/2023,OK,CR,PR,1,2023,1791.266667,854.5454714,2023-09-15_OK_CR_PR_1,-97.22590555,33.93146845,1_PR_2023,0.450433572,16.02839529,0.268291946,0.253933451,0.183406918,0.273414616,26.30725538,0.192130753,0.593913117,0.518054755,0.073292669,-0.089101104,0.263300259,0.368497443,0.097634376,-0.220032837,147.7091944,153.8234329,119.4924988,161.1611365,117.2023859,110.4149691,476.2572589,753.5154153,948.3616225,2493.686355,2965.68386,1703.79257,1993.9947029042123,1823.024818508689,1987.9067988741153,1779.7917770271542,1839.3808160722879,1785.3025651744379,1702.449026427993,1673.7510190033465,1315.1676142366514,kfold10
